Impact category,Amount (Normalized),Normalized Unit
Acidification,0.0008258902909885013,mol H+-Eq/ref
Climate change,0.00018776569966612647,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.0009474491540965595,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.00028971764653051884,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.002291096389017907,kg P-Eq/ref
Eutrophication: marine,0.00015124445509240924,kg N-Eq/ref
Eutrophication: terrestrial,0.00021872975650716263,mol N-Eq/ref
Human toxicity: carcinogenic,0.0002761881911279476,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.003435237635847937,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,3.067400209977601e-05,kBq U235-Eq/ref
Land use,2.4578125112761633e-05,dimensionless/ref
Material resources: metals/minerals,0.008563050527656758,kg Sb-Eq/ref
Ozone depletion,3.8642358924103e-07,kg CFC-11-Eq/ref
Particulate matter formation,0.0002596123266896067,disease incidence/ref
Photochemical oxidant formation: human health,0.00027137740901502644,kg NMVOC-Eq/ref
Water use,5.6747103313844076e-05,m3 world Eq deprived/ref
