Impact category,Amount (Normalized),Normalized Unit
Acidification,0.06516873595154603,mol H+-Eq/ref
Climate change,0.04709175332332445,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.09362133651197181,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.06787062812183459,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.20091336193274795,kg P-Eq/ref
Eutrophication: marine,0.023567611580419423,kg N-Eq/ref
Eutrophication: terrestrial,0.02824197924521342,mol N-Eq/ref
Human toxicity: carcinogenic,0.018747562817672606,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.14028984098777622,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.007328074105799796,kBq U235-Eq/ref
Land use,0.0019225066480625464,dimensionless/ref
Material resources: metals/minerals,0.8822364593510144,kg Sb-Eq/ref
Ozone depletion,0.0006076969710594802,kg CFC-11-Eq/ref
Particulate matter formation,0.051487673886376054,disease incidence/ref
Photochemical oxidant formation: human health,0.045404713039461746,kg NMVOC-Eq/ref
Water use,0.010822369568821334,m3 world Eq deprived/ref
