Flow,Amount,Unit,Is input
Water,0.16217378816745423,m3,False
"Transformation, to industrial area",0.0016453967025599953,m2,True
"Transformation, to lake, artificial",0.0009858739463968228,m2,True
"Water, turbine use, unspecified natural origin",127.53602074230042,m3,True
"Transformation, from forest, unspecified",0.0010679002107752804,m2,True
"Energy, potential (in hydropower reservoir), converted",16.579869421086034,MJ,True
"Carbon dioxide, from soil or biomass stock",0.04151306540034395,kg,False
Water,128.79599639634614,m3,False
"Methane, non-fossil",0.001415501374937541,kg,False
"Volume occupied, reservoir",1.0405117169226012,m3*a,True
"Occupation, lake, artificial",0.13148387531432645,m2*a,True
Water,2.2812240071231256,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.0003577278876352406,kg,False
"Hydrocarbons, unspecified",4.907200714435176e-06,kg,False
Cadmium II,2.1108523288627626e-07,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",4.676917734783542e-12,kg,False
Selenium IV,4.459439486031993e-08,kg,False
Chromium VI,4.530501979704374e-08,kg,False
Vanadium V,4.164143158872696e-09,kg,False
Copper ion,6.576508223886421e-06,kg,False
"TOC, Total Organic Carbon",0.00031503524948079265,kg,False
Ammonia,0.0027640313024638883,kg,False
Arsenic ion,2.1002373700776684e-07,kg,False
Chromium III,8.491727816355628e-07,kg,False
Zinc II,6.899628895754596e-06,kg,False
Nitrogen,1.6904568963384454e-06,kg,False
"Water, unspecified natural origin",0.0341555665261652,m3,True
"AOX, Adsorbable Organic Halides",2.7527576541148215e-07,kg,False
Benzene,1.0846313769729407e-05,kg,False
Rhodium III,1.7555178030515292e-10,kg,False
Mercury II,1.6620528204424965e-08,kg,False
Chloride,0.008316588440950462,kg,False
Tin ion,5.097022086279303e-07,kg,False
Formaldehyde,1.3030247641289659e-05,kg,False
Nickel II,1.1072725946170003e-06,kg,False
Sulfate,0.0013982919926027665,kg,False
Sulfide,7.624682792178122e-06,kg,False
Selenium IV,8.453314227230947e-09,kg,False
"Suspended solids, unspecified",0.00011125127508819423,kg,False
Nitrogen oxides,0.021623611943644917,kg,False
Tellurium,2.9091066881108257e-10,kg,False
Platinum,1.7555178030515292e-10,kg,False
"PAH, polycyclic aromatic hydrocarbons",6.708711766384208e-10,kg,False
Beryllium II,2.0042213686636943e-09,kg,False
Palladium II,1.7779670146771966e-10,kg,False
Vanadium V,1.8098362845096772e-06,kg,False
Copper ion,2.0193050259086315e-06,kg,False
Antimony ion,5.70761122237767e-07,kg,False
Ammonium,0.00012156412896018372,kg,False
Cobalt II,1.0569426170751077e-07,kg,False
Arsenic ion,2.7140095926483824e-08,kg,False
Fluoride,1.3475793349964234e-05,kg,False
Barium II,1.6148894981021539e-06,kg,False
Hydrogen fluoride,1.8036401847697108e-05,kg,False
Lead II,3.893016931577379e-06,kg,False
Hydrochloric acid,0.00016409028631596145,kg,False
Boron,8.309274771057387e-08,kg,False
Chromium III,1.0351108504474174e-05,kg,False
Sodium I,0.0029402360271385806,kg,False
"NMVOC, non-methane volatile organic compounds",0.003705425470748479,kg,False
t-Butyl methyl ether,4.154637385528687e-09,kg,False
Cyanide,1.1497110385432972e-05,kg,False
"Heat, waste",0.36102816585252623,MJ,False
Nickel II,1.5081948115865713e-06,kg,False
Hydrogen sulfide,0.0002008491415039994,kg,False
Cobalt II,3.511188931445823e-09,kg,False
Mercury II,9.342477871511426e-08,kg,False
Benzene,4.1762092358861835e-05,kg,False
"Particulate Matter, < 2.5 um",0.0009129057173208904,kg,False
"Carbon monoxide, fossil",0.013146257063739083,kg,False
Cadmium II,8.918376176379072e-08,kg,False
"Xylenes, unspecified",4.201796470277702e-06,kg,False
Dinitrogen monoxide,0.0002868948926915846,kg,False
Toluene,2.172404667867027e-06,kg,False
"Particulate Matter, > 10 um",0.003104561218897427,kg,False
Thallium I,8.835701720065252e-09,kg,False
Aluminium III,2.8089814115039034e-07,kg,False
Nitrate,1.9381498759792367e-05,kg,False
"Xylenes, unspecified",8.42740798447098e-08,kg,False
Nitrite,2.0141988814581972e-08,kg,False
"BOD5, Biological Oxygen Demand",0.0010474544313742993,kg,False
Molybdenum VI,2.077318692764347e-09,kg,False
"Heat, waste",0.05162219022267562,MJ,False
Water,0.07934767493682328,m3,False
Benzo(a)pyrene,7.928772630726714e-09,kg,False
"Water, cooling, unspecified natural origin",1.3027455135635784,m3,True
Manganese II,8.404647264753825e-07,kg,False
Zinc II,1.415502754348551e-06,kg,False
Iron ion,4.9352292073101495e-05,kg,False
Manganese II,3.419361620766114e-07,kg,False
Toluene,5.526220406950218e-07,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.0066388071461181e-06,kg,False
Lead II,7.962705506963297e-07,kg,False
Tin ion,2.109398103180662e-09,kg,False
Phenol,2.75972939646371e-06,kg,False
"Carbon dioxide, fossil",1.5366869452093197,kg,False
"Methane, fossil",0.00011011533057735824,kg,False
Phosphorus,2.681886687066891e-07,kg,False
"Carbon dioxide, non-fossil",0.02689178091754165,kg,False
Sulfur dioxide,0.002038971477085849,kg,False
"DOC, Dissolved Organic Carbon",0.0003157182832103924,kg,False
"COD, Chemical Oxygen Demand",0.001065222609846841,kg,False
"Water, well, in ground",0.07591812250005317,m3,True
"DOC, Dissolved Organic Carbon",0.023204176494966373,kg,False
Chloride,0.033677350351687785,kg,False
"COD, Chemical Oxygen Demand",0.008642991612772552,kg,False
Phenol,1.4650654050771793e-05,kg,False
Chlorine,5.8799571366998355e-05,kg,False
"Water, river",0.12598155820482063,m3,True
Sodium I,0.07881696334509526,kg,False
"Carbon dioxide, fossil",2.196318104431733,kg,False
Phenol,2.365702086982365e-06,kg,False
"TOC, Total Organic Carbon",0.005347920386657668,kg,False
"BOD5, Biological Oxygen Demand",0.004161324829848008,kg,False
Hydrogen,0.0009747306094952103,kg,False
Ammonia,7.128596457617045e-05,kg,False
Benzene,4.78456596847748e-05,kg,False
"NMVOC, non-methane volatile organic compounds",0.00853527292707987,kg,False
Nickel II,7.894665557001024e-05,kg,False
