Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.09177968124570363,mol H+-Eq,0.001651618480451933,mol H+-Eq/ref
Climate change,6.124122973002159,kg CO2-Eq,0.0008108110080135442,kg CO2-Eq/ref
Climate change: biogenic,0.011756671977673811,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,6.10051391993724,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.011852381087244209,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,173.55848643382103,CTUe,0.0030601010680259676,CTUe/ref
"Ecotoxicity: freshwater, inorganics",169.93225065624617,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",3.626235777574774,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,82.20988280980777,"MJ, net calorific value",0.0012646845489787978,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.008311173127662932,kg P-Eq,0.00517233227802212,kg P-Eq/ref
Eutrophication: marine,0.010440174255473954,kg N-Eq,0.0005341559109474711,kg N-Eq/ref
Eutrophication: terrestrial,0.11974638250015723,mol N-Eq,0.0006774709775432176,mol N-Eq/ref
Human toxicity: carcinogenic,6.708905031729505e-09,CTUh,0.00038885665782155496,CTUh/ref
"Human toxicity: carcinogenic, inorganics",2.7154511272148535e-09,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",3.99345390451465e-09,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,2.352825610562852e-07,CTUh,0.0018276361006733563,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",2.2512624099209054e-07,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",1.0156320064194722e-08,CTUh,0.0,CTUh/ref
Ionising radiation: human health,0.6294884896389679,kBq U235-Eq,0.00014916211327992395,kBq U235-Eq/ref
Land use,44.97415907499697,dimensionless,5.48801205584674e-05,dimensionless/ref
Material resources: metals/minerals,0.002785211937675495,kg Sb-Eq,0.04377707420035306,kg Sb-Eq/ref
Ozone depletion,1.36974783608235e-07,kg CFC-11-Eq,2.616600088836269e-06,kg CFC-11-Eq/ref
Particulate matter formation,4.4917752547620195e-07,disease incidence,0.0007544548580559587,disease incidence/ref
Photochemical oxidant formation: human health,0.044048811891426724,kg NMVOC-Eq,0.001078063553340031,kg NMVOC-Eq/ref
Water use,2.7907504215031804,m3 world Eq deprived,0.00024333606416416734,m3 world Eq deprived/ref
