Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.12708314508970614,mol H+-Eq,0.0022869208972540254,mol H+-Eq/ref
Climate change,10.058408482332192,kg CO2-Eq,0.0013316957148843446,kg CO2-Eq/ref
Climate change: biogenic,0.018398620418740866,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,10.020383838009604,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.01962602390384711,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,243.00534243350108,CTUe,0.004284555155995326,CTUe/ref
"Ecotoxicity: freshwater, inorganics",217.59946891105946,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",25.4058735224418,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,136.41170426954233,"MJ, net calorific value",0.0020985040823945033,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.011412448241585485,kg P-Eq,0.007102363710212844,kg P-Eq/ref
Eutrophication: marine,0.014820937072421846,kg N-Eq,0.0007582910925901246,kg N-Eq/ref
Eutrophication: terrestrial,0.16420478984723902,mol N-Eq,0.0009289965773700225,mol N-Eq/ref
Human toxicity: carcinogenic,8.612126817069931e-09,CTUh,0.0004991698101229319,CTUh/ref
"Human toxicity: carcinogenic, inorganics",5.179318938191181e-09,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",3.4328078788787512e-09,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,4.759441140516512e-07,CTUh,0.0036970553229217244,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",4.5006952829833023e-07,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",2.587458575332108e-08,CTUh,0.0,CTUh/ref
Ionising radiation: human health,1.009686972838763,kBq U235-Eq,0.0002392530524366174,kBq U235-Eq/ref
Land use,61.17658029644649,dimensionless,7.465127021997511e-05,dimensionless/ref
Material resources: metals/minerals,0.002828060321295798,kg Sb-Eq,0.04445055144771711,kg Sb-Eq/ref
Ozone depletion,2.423890343607707e-07,kg CFC-11-Eq,4.63030604709931e-06,kg CFC-11-Eq/ref
Particulate matter formation,6.723291882919882e-07,disease incidence,0.0011292684819480896,disease incidence/ref
Photochemical oxidant formation: human health,0.06944012190983861,kg NMVOC-Eq,0.0016994979286843333,kg NMVOC-Eq/ref
Water use,3.738711816362603,m3 world Eq deprived,0.000325992396678638,m3 world Eq deprived/ref
