Impact category,Amount (Normalized),Normalized Unit
Acidification,0.0022869208972540254,mol H+-Eq/ref
Climate change,0.0013316957148843446,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.004284555155995326,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.0020985040823945033,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.007102363710212844,kg P-Eq/ref
Eutrophication: marine,0.0007582910925901246,kg N-Eq/ref
Eutrophication: terrestrial,0.0009289965773700225,mol N-Eq/ref
Human toxicity: carcinogenic,0.0004991698101229319,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.0036970553229217244,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.0002392530524366174,kBq U235-Eq/ref
Land use,7.465127021997511e-05,dimensionless/ref
Material resources: metals/minerals,0.04445055144771711,kg Sb-Eq/ref
Ozone depletion,4.63030604709931e-06,kg CFC-11-Eq/ref
Particulate matter formation,0.0011292684819480896,disease incidence/ref
Photochemical oxidant formation: human health,0.0016994979286843333,kg NMVOC-Eq/ref
Water use,0.000325992396678638,m3 world Eq deprived/ref
