Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.0004492103474110858,mol H+-Eq,8.083751232565032e-06,mol H+-Eq/ref
Climate change,1.8333137967139277,kg CO2-Eq,0.00024272389925411017,kg CO2-Eq/ref
Climate change: biogenic,1.65867913256703e-05,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,1.8332924032319267,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,4.806690675571276e-06,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,13.6459941668189,CTUe,0.00024059970896370592,CTUe/ref
"Ecotoxicity: freshwater, inorganics",13.643894775952578,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.002099390866321678,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,0.25947850815400797,"MJ, net calorific value",3.991715458512891e-06,"MJ, net calorific value/ref"
Eutrophication: freshwater,1.0845184239713997e-05,kg P-Eq,6.749335580251973e-06,kg P-Eq/ref
Eutrophication: marine,0.0003087529587331705,kg N-Eq,1.579688364333308e-05,kg N-Eq/ref
Eutrophication: terrestrial,0.002404499067483529,mol N-Eq,1.3603570310340543e-05,mol N-Eq/ref
Human toxicity: carcinogenic,1.2792464373683502e-10,CTUh,7.4146748510009934e-06,CTUh/ref
"Human toxicity: carcinogenic, inorganics",1.1865968346635115e-10,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",9.264960270483803e-12,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,2.435533782792359e-08,CTUh,0.00018918824437549393,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",2.4347304021093245e-08,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",8.033806830352114e-12,CTUh,0.0,CTUh/ref
Ionising radiation: human health,0.0006054626940268571,kBq U235-Eq,1.4346901720951072e-07,kBq U235-Eq/ref
Land use,0.05513728337437909,dimensionless,6.728176404157722e-08,dimensionless/ref
Material resources: metals/minerals,7.637404092548689e-08,kg Sb-Eq,1.2004228516147426e-06,kg Sb-Eq/ref
Ozone depletion,5.044022825941262e-10,kg CFC-11-Eq,9.635489268009028e-09,kg CFC-11-Eq/ref
Particulate matter formation,1.6038632700329606e-09,disease incidence,2.693906901176855e-06,disease incidence/ref
Photochemical oxidant formation: human health,0.000581771124926048,kg NMVOC-Eq,1.4238437298021026e-05,kg NMVOC-Eq/ref
Water use,0.05571359904232821,m3 world Eq deprived,4.857879015952419e-06,m3 world Eq deprived/ref
