Flow,Amount,Unit,Is input
Water,0.00019497599451155596,m3,False
"Transformation, to industrial area",7.834300643533668e-07,m2,True
"Transformation, to lake, artificial",1.662059624675695e-07,m2,True
"Water, turbine use, unspecified natural origin",0.036722989281431764,m3,True
"Transformation, from forest, unspecified",1.2408250708349584e-06,m2,True
"Energy, potential (in hydropower reservoir), converted",0.005062143163852132,MJ,True
"Carbon dioxide, from soil or biomass stock",4.690529350580575e-06,kg,False
Water,0.03702927517268021,m3,False
"Methane, non-fossil",6.061805545971374e-07,kg,False
"Volume occupied, reservoir",0.00012702611213418461,m3*a,True
"Occupation, lake, artificial",1.0786040543803828e-05,m2*a,True
Water,0.012916786077227968,m3,False
"Particulate Matter, > 2.5 um and < 10um",3.396232275640013e-07,kg,False
"Hydrocarbons, unspecified",5.621357787084478e-09,kg,False
Cadmium II,4.25082269183615e-11,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",2.5969130425160944e-15,kg,False
Selenium IV,5.721756624835649e-11,kg,False
Chromium VI,7.985173791354551e-11,kg,False
Vanadium V,3.233408790711162e-12,kg,False
Copper ion,6.51024338343323e-09,kg,False
"TOC, Total Organic Carbon",3.8563772960184545e-08,kg,False
Ammonia,3.1660761561596686e-07,kg,False
Arsenic ion,7.310611498438851e-11,kg,False
Chromium III,2.4648413732759467e-08,kg,False
Zinc II,4.355579337314855e-09,kg,False
Nitrogen,2.384057976987656e-09,kg,False
"Water, unspecified natural origin",4.503237922451437e-05,m3,True
"AOX, Adsorbable Organic Halides",5.638837631791972e-10,kg,False
Benzene,3.6242529342532107e-09,kg,False
Rhodium III,1.5482934768052766e-13,kg,False
Mercury II,5.3446398552104765e-11,kg,False
Chloride,1.861016679282342e-05,kg,False
Tin ion,8.56999625472385e-10,kg,False
Formaldehyde,8.352678235711834e-09,kg,False
Nickel II,2.5143957170737132e-08,kg,False
Sulfate,2.0504966748132396e-05,kg,False
Sulfide,1.3175699233307237e-09,kg,False
Selenium IV,6.485335860376608e-12,kg,False
"Suspended solids, unspecified",1.0954519496351655e-06,kg,False
Nitrogen oxides,1.0370420924909007e-05,kg,False
Tellurium,3.5903847306194024e-13,kg,False
Platinum,1.5482934768052766e-13,kg,False
"PAH, polycyclic aromatic hydrocarbons",2.040171239925106e-13,kg,False
Beryllium II,1.6635966907146953e-12,kg,False
Palladium II,1.565839006084119e-13,kg,False
Vanadium V,1.6354238552571523e-09,kg,False
Copper ion,2.4805801304814984e-08,kg,False
Antimony ion,1.1950858082959809e-09,kg,False
Ammonium,6.181128439445887e-08,kg,False
Cobalt II,5.812310591582827e-11,kg,False
Arsenic ion,5.337170335237276e-11,kg,False
Fluoride,8.619631960807864e-09,kg,False
Barium II,3.407290645299641e-09,kg,False
Hydrogen fluoride,9.68363785600769e-09,kg,False
Lead II,1.8291561374400399e-09,kg,False
Hydrochloric acid,6.465806883472306e-08,kg,False
Boron,6.462470677705254e-11,kg,False
Chromium III,4.078257736045623e-09,kg,False
Sodium I,3.251468177297947e-07,kg,False
"NMVOC, non-methane volatile organic compounds",1.4837645965886786e-06,kg,False
t-Butyl methyl ether,3.2312353388526204e-12,kg,False
Cyanide,1.1499189696324547e-08,kg,False
"Heat, waste",0.00045734903704106126,MJ,False
Nickel II,1.298719429309218e-09,kg,False
Hydrogen sulfide,3.800343765845517e-08,kg,False
Cobalt II,1.1054135112208355e-12,kg,False
Mercury II,1.4032596374294643e-10,kg,False
Benzene,1.3807351612614396e-08,kg,False
"Particulate Matter, < 2.5 um",7.015613517301328e-07,kg,False
"Carbon monoxide, fossil",2.562082304939382e-05,kg,False
Cadmium II,2.197174344934492e-10,kg,False
"Xylenes, unspecified",2.7512736716043637e-09,kg,False
Dinitrogen monoxide,5.019123091990596e-08,kg,False
Toluene,1.5107271885116114e-09,kg,False
"Particulate Matter, > 10 um",1.2672628422701423e-06,kg,False
Thallium I,5.6100753697753155e-11,kg,False
Aluminium III,2.9183555295046016e-10,kg,False
Nitrate,8.756776124053381e-08,kg,False
"Xylenes, unspecified",1.3333116642361942e-11,kg,False
Nitrite,1.1404629495569507e-11,kg,False
"BOD5, Biological Oxygen Demand",1.9786178034769193e-07,kg,False
Molybdenum VI,1.6156176694263122e-12,kg,False
"Heat, waste",5.0063179988471425e-05,MJ,False
Water,0.0005830590884576748,m3,False
Benzo(a)pyrene,5.916032496280586e-12,kg,False
"Water, cooling, unspecified natural origin",0.0005882036297167863,m3,True
Manganese II,1.1657278622161664e-09,kg,False
Zinc II,2.5910539108945402e-08,kg,False
Iron ion,1.3480723629338032e-06,kg,False
