Impact category,Amount (Normalized),Normalized Unit
Acidification,0.0003556229897585696,mol H+-Eq/ref
Climate change,0.00045603675056029474,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.00012877007688255377,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.0007410782301789352,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.0002798182565600712,kg P-Eq/ref
Eutrophication: marine,0.0004137776019598847,kg N-Eq/ref
Eutrophication: terrestrial,0.0004971309910638909,mol N-Eq/ref
Human toxicity: carcinogenic,3.3579786275625634e-05,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.00019819780371556364,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,3.529616082800868e-05,kBq U235-Eq/ref
Land use,5.117816579482467e-05,dimensionless/ref
Material resources: metals/minerals,0.00014030375303819686,kg Sb-Eq/ref
Ozone depletion,1.3692296322085413e-06,kg CFC-11-Eq/ref
Particulate matter formation,0.00048211975456622193,disease incidence/ref
Photochemical oxidant formation: human health,0.0006926030171750395,kg NMVOC-Eq/ref
Water use,3.4487172101041755e-05,m3 world Eq deprived/ref
