Flow,Amount,Unit,Is input
Water,0.6879833105364567,m3,False
"Transformation, to industrial area",0.010101968342013407,m2,True
"Transformation, to lake, artificial",0.006213286634861015,m2,True
"Water, turbine use, unspecified natural origin",647.10107591967,m3,True
"Transformation, from forest, unspecified",0.0039358896741927656,m2,True
"Energy, potential (in hydropower reservoir), converted",98.16291822757304,MJ,True
"Carbon dioxide, from soil or biomass stock",0.22136320007437318,kg,False
Water,651.9344163130144,m3,False
"Methane, non-fossil",0.0365001681807824,kg,False
"Volume occupied, reservoir",5.409871437702285,m3*a,True
"Occupation, lake, artificial",0.7273911656743942,m2*a,True
Water,9.183063818132801,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.008906629519209579,kg,False
"Hydrocarbons, unspecified",2.9895528944322334e-05,kg,False
Cadmium II,2.3601862655291545e-06,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",9.297170766612693e-10,kg,False
Selenium IV,2.451138729944722e-07,kg,False
Chromium VI,7.885878381139765e-08,kg,False
Vanadium V,3.2535618544865476e-08,kg,False
Copper ion,5.466519590657593e-05,kg,False
"TOC, Total Organic Carbon",0.00034948782362926407,kg,False
Ammonia,0.0028781227094925163,kg,False
Arsenic ion,1.8230198014296878e-06,kg,False
Chromium III,1.0206704082706163e-06,kg,False
Zinc II,6.07927488934944e-05,kg,False
Nitrogen,1.1747568213066854e-05,kg,False
"Water, unspecified natural origin",0.38313916651973273,m3,True
"AOX, Adsorbable Organic Halides",7.127022595038371e-07,kg,False
Benzene,1.888207579786007e-06,kg,False
Rhodium III,1.261028312234781e-09,kg,False
Mercury II,2.9547803249478772e-08,kg,False
Chloride,0.01616249042244347,kg,False
Tin ion,3.4179481309222777e-06,kg,False
Formaldehyde,3.287887825093261e-05,kg,False
Nickel II,1.4784403012252435e-06,kg,False
Sulfate,0.003079940306113223,kg,False
Sulfide,5.435090353766429e-06,kg,False
Selenium IV,8.459853834708045e-08,kg,False
"Suspended solids, unspecified",0.0016334153214296546,kg,False
Nitrogen oxides,0.059665153190743336,kg,False
Tellurium,2.1368340540466027e-09,kg,False
Platinum,1.261028312234781e-09,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.3475642832167517e-07,kg,False
Beryllium II,1.5258707571225246e-08,kg,False
Palladium II,1.2612435163091206e-09,kg,False
Vanadium V,1.191087159947711e-05,kg,False
Copper ion,1.2901309855971456e-05,kg,False
Antimony ion,4.637154005908404e-06,kg,False
Ammonium,1.4635131604956936e-05,kg,False
Cobalt II,7.238557816342796e-07,kg,False
Arsenic ion,6.114012601094297e-08,kg,False
Fluoride,0.0013176330528183568,kg,False
Barium II,9.874074452578902e-06,kg,False
Hydrogen fluoride,0.002312914049035635,kg,False
Lead II,3.462884279210051e-05,kg,False
Hydrochloric acid,0.0008231628637533787,kg,False
Boron,6.408555057387002e-07,kg,False
Chromium III,1.0132823581953206e-05,kg,False
Sodium I,0.01781566411389357,kg,False
"NMVOC, non-methane volatile organic compounds",0.0069001033423607685,kg,False
t-Butyl methyl ether,3.2042775286934994e-08,kg,False
Cyanide,2.9400603170099314e-06,kg,False
"Heat, waste",2.3964433563967464,MJ,False
Nickel II,8.313315432636665e-06,kg,False
Hydrogen sulfide,7.982293127258918e-05,kg,False
Cobalt II,7.932687254797523e-09,kg,False
Mercury II,1.3296816673353362e-06,kg,False
Benzene,7.450378359552105e-05,kg,False
"Particulate Matter, < 2.5 um",0.03263738206202752,kg,False
"Carbon monoxide, fossil",0.04571855170512865,kg,False
Cadmium II,1.4923651686630085e-07,kg,False
"Xylenes, unspecified",3.0330756465089468e-05,kg,False
Dinitrogen monoxide,0.0008807369360473861,kg,False
Toluene,1.2304107484788515e-05,kg,False
"Particulate Matter, > 10 um",0.019636080853447088,kg,False
Thallium I,4.642018505476792e-08,kg,False
Aluminium III,5.803111931963103e-07,kg,False
Nitrate,1.4667984095464969e-05,kg,False
"Xylenes, unspecified",2.8303371314930474e-08,kg,False
Nitrite,1.504058595576119e-07,kg,False
"BOD5, Biological Oxygen Demand",0.0009663449583297703,kg,False
Molybdenum VI,1.6021387643467504e-08,kg,False
"Heat, waste",0.4595961384239527,MJ,False
Water,0.2622230775991508,m3,False
Benzo(a)pyrene,2.734906142293804e-07,kg,False
"Water, cooling, unspecified natural origin",5.039957798532309,m3,True
Manganese II,5.158257485613963e-06,kg,False
Zinc II,2.3603452068486647e-06,kg,False
