Impact category,Amount (Normalized),Normalized Unit
Acidification,0.00573506257505762,mol H+-Eq/ref
Climate change,0.0011756033099587367,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.006402315718993754,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.0015315019743376444,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.016065470251957873,kg P-Eq/ref
Eutrophication: marine,0.001091695344512652,kg N-Eq/ref
Eutrophication: terrestrial,0.0015453273337428662,mol N-Eq/ref
Human toxicity: carcinogenic,0.0018438552417993884,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.02386184083596079,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.00016739003293386682,kBq U235-Eq/ref
Land use,0.0001422082374894606,dimensionless/ref
Material resources: metals/minerals,0.05866703625255062,kg Sb-Eq/ref
Ozone depletion,0.0003406484935559639,kg CFC-11-Eq/ref
Particulate matter formation,0.0017034072138326754,disease incidence/ref
Photochemical oxidant formation: human health,0.0020325373713561846,kg NMVOC-Eq/ref
Water use,0.00035007190615892446,m3 world Eq deprived/ref
