Flow,Amount,Unit,Is input
Water,0.06172046163645636,m3,False
"Transformation, to industrial area",0.00033005463390888836,m2,True
"Transformation, to lake, artificial",0.0003474981872628264,m2,True
"Water, turbine use, unspecified natural origin",29.07857238657817,m3,True
"Transformation, from forest, unspecified",0.0032819380078541473,m2,True
"Energy, potential (in hydropower reservoir), converted",3.9784966067316123,MJ,True
"Carbon dioxide, from soil or biomass stock",0.01424425803246203,kg,False
Water,29.44362917985504,m3,False
"Methane, non-fossil",0.0002668755461237096,kg,False
"Volume occupied, reservoir",0.17146723743514833,m3*a,True
"Occupation, lake, artificial",0.02310786434831158,m2*a,True
Water,0.625953612896195,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.011233409814127737,kg,False
"Hydrocarbons, unspecified",0.00012200888226071892,kg,False
Cadmium II,5.812092124567284e-07,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",4.487090798091064e-12,kg,False
Selenium IV,7.10225477863994e-07,kg,False
Chromium VI,8.812564789314376e-08,kg,False
Vanadium V,6.767962727455356e-08,kg,False
Copper ion,0.00032532194132891043,kg,False
"TOC, Total Organic Carbon",8.870911815693135e-05,kg,False
Ammonia,0.0003472279647879524,kg,False
Arsenic ion,7.663955148608988e-07,kg,False
Chromium III,1.363181761536113e-06,kg,False
Zinc II,0.00014469103831141333,kg,False
Nitrogen,1.8576744144333447e-05,kg,False
"Water, unspecified natural origin",0.05553724766315337,m3,True
"AOX, Adsorbable Organic Halides",7.852646137935663e-07,kg,False
Benzene,2.2201925294142053e-06,kg,False
Rhodium III,3.168566617738031e-09,kg,False
Mercury II,2.8428400375782107e-08,kg,False
Chloride,0.0028627534131011093,kg,False
Tin ion,4.434355816224474e-05,kg,False
Formaldehyde,6.607598695905271e-05,kg,False
Nickel II,1.8844608527020508e-06,kg,False
Sulfate,0.0028345075806520737,kg,False
Sulfide,3.829057686096129e-06,kg,False
Selenium IV,1.354110271006494e-07,kg,False
"Suspended solids, unspecified",0.0002139849469067943,kg,False
Nitrogen oxides,0.09562739420190487,kg,False
Tellurium,4.6036305427744995e-09,kg,False
Platinum,3.168566617738031e-09,kg,False
"PAH, polycyclic aromatic hydrocarbons",2.6805550155937324e-09,kg,False
Beryllium II,5.066056529316552e-09,kg,False
Palladium II,3.168717515888512e-09,kg,False
Vanadium V,3.546247962848964e-05,kg,False
Copper ion,1.8480682904362955e-06,kg,False
