Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.3636948794261122,mol H+-Eq,0.006544860212554112,mol H+-Eq/ref
Climate change,64.77578523057117,kg CO2-Eq,0.008576072026836119,kg CO2-Eq/ref
Climate change: biogenic,3.5582661011112546,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,61.146179547089545,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.07133958237038177,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,280.67951387630376,CTUe,0.004948808311447182,CTUe/ref
"Ecotoxicity: freshwater, inorganics",274.2404250940054,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",6.439088782298455,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,497.44547514262814,"MJ, net calorific value",0.007652505816456954,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.021394166258616464,kg P-Eq,0.013314334210233229,kg P-Eq/ref
Eutrophication: marine,0.08061444168095447,kg N-Eq,0.00412451741493056,kg N-Eq/ref
Eutrophication: terrestrial,1.002284048027537,mol N-Eq,0.005670470703299093,mol N-Eq/ref
Human toxicity: carcinogenic,3.544282432774034e-08,CTUh,0.002054311120318343,CTUh/ref
"Human toxicity: carcinogenic, inorganics",1.4660996533505106e-08,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",2.078182779423524e-08,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,1.3543754018092508e-06,CTUh,0.010520564580298056,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",1.2836950264317283e-06,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",7.068037537752225e-08,CTUh,0.0,CTUh/ref
Ionising radiation: human health,2.669196427569882,kBq U235-Eq,0.0006324865131749987,kBq U235-Eq/ref
Land use,6156.689580429746,dimensionless,0.007512755621547267,dimensionless/ref
Material resources: metals/minerals,0.001239986569783054,kg Sb-Eq,0.019489713992156,kg Sb-Eq/ref
Ozone depletion,6.310916172827379e-07,kg CFC-11-Eq,1.2055608618946987e-05,kg CFC-11-Eq/ref
Particulate matter formation,6.176186809637923e-06,disease incidence,0.010373747301476104,disease incidence/ref
Photochemical oxidant formation: human health,0.2764944595400657,kg NMVOC-Eq,0.006767006571376107,kg NMVOC-Eq/ref
Water use,4092.569816031312,m3 world Eq deprived,0.35684661146220487,m3 world Eq deprived/ref
