Impact category,Amount (Normalized),Normalized Unit
Acidification,0.004154716446877289,mol H+-Eq/ref
Climate change,0.008635121186696336,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.004483018231584631,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.17384460390858678,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.03508497762898687,kg P-Eq/ref
Eutrophication: marine,0.004915729378846825,kg N-Eq/ref
Eutrophication: terrestrial,0.0034369018529431727,mol N-Eq/ref
Human toxicity: carcinogenic,0.0012827585000842487,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.007427968940101414,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.17047181509613893,kBq U235-Eq/ref
Land use,0.0035852285150030513,dimensionless/ref
Material resources: metals/minerals,0.010664370181263469,kg Sb-Eq/ref
Ozone depletion,1.4789164227772691e-05,kg CFC-11-Eq/ref
Particulate matter formation,0.008852378598485916,disease incidence/ref
Photochemical oxidant formation: human health,0.0044348540712509585,kg NMVOC-Eq/ref
Water use,0.13759700365995267,m3 world Eq deprived/ref
