Designators,Casing,Section,Subsection,Ecoinvent_unit,unit,Total_quantity,Total_mass_kg,Ecoinvent_flow,Category,Manufacturer,Part_Number,Description,number_elements,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Direction,Comments,Order_index,Category_order,Group_order,Method,Volume_cm3,Density_used_g_cm3,Density_source,Validation_error
PCB,,PCB,,m2,m2,0.01,0.0308,"printed wiring board production, for through-hole mounting, Pb free surface",AUTO,Panel of 2 PCBs,,Input EMC Fuse Card Printed Circuit Board (Bare),1,0.01,YES,100,100,,,,,,3.08,EcoInvent,Input,Base PCB from EcoInvent,1,1,1,M2_EQUIVALENT,,,M2_RELATION,
FH1-FH3,,Electromechanical,Fuse holder ,kg,kg,0.0343014,0.0343014,"electronic component, passive, unspecified",AUTO,KEYSTONE,3576,Fuse Holder for 10.3x38mm (5AG) Fuses,3,0.0114338,NO,,,,9.88,1.12,1.15,0.22,,EcoInvent,Input,Passive component (generic): https://www.tme.eu/se/details/640900-1/signalkontaktdon-avstand-6-35mm/te-connectivity/,7,1,4,CALCULATED,9.88,1.135,MIN_MAX_AVG,
FHC1-FHC3,,Hardware,Enclosure,kg,kg,0.01077,0.01077,"electronic component, passive, unspecified",AUTO,KEYSTONE,3576C,Cover for Fuse Holder KEYSTONE 3576,3,0.00359,YES,,,,,,,,,EcoInvent,Input,"No more accurate component, it is considered generic",8,1,5,DATASHEET_QTY_KG,,,MISSING,
J1,,Electromechanical,Connectors,kg,kg,0.00319,0.00319,"electric connector production, wire clamp",AUTO,TYCO ELECTRONICS,640900-1,5 Circuits In-Line - Universal MATE-N-LOK Connector,1,0.00319,YES,,,,,,,,,EcoInvent,Input,Mass info: https://www.tme.eu/se/details/640900-1/signalkontaktdon-avstand-6-35mm/te-connectivity/,9,1,6,DATASHEET_QTY_KG,,,MISSING,
J2,,Electromechanical,Connectors,kg,kg,0.00137,0.00137,"electric connector production, wire clamp",AUTO,TYCO ELECTRONICS,350786-1,2 Circuits In-Line - Universal MATE-N-LOK Connector,1,0.00137,YES,,,,,,,,,EcoInvent,Input,Mass info: https://www.tme.com/in/en/details/350786-1/raster-signal-connectors-6-35mm/te-connectivity/,10,1,6,DATASHEET_QTY_KG,,,MISSING,
J3,,Electromechanical,Connectors,kg,kg,0.0526,0.0526,"electric connector production, peripheral type buss",AUTO,CERN,EDA-02872-V1-3,"2 Circuits In-Line - Universal MATE-N-LOK with Central Wire Pin, 7 Poles, VDE  Metalok Bantam Circular Male Connector, Mounted On 15mm M3 Spacer",1,0.0526,YES,,,,,,,,,EcoInvent,Input,"Although the dataset represents ICT connectors (e.g., USB ports), its material composition is comparable TO j3. Explanation as a special component the mass calculation",11,1,6,DATASHEET_QTY_KG,,,MISSING,
R1-R9,,Passives,Resistors,kg,kg,0.00098775,0.00098775,"resistor, metal film type, through-hole mounting",AUTO,Generic,RMF_68K_1%_0.6W_50PPM_1016-630X250,±1% 0.6W ±50ppm/°C Leaded Metal Film Resistor,9,0.00010975,NO,,,,0.0285,3,4,0.01,,EcoInvent,Input,The dataset explicitly represents THT.,12,1,7,CALCULATED,0.0285,3.5,MIN_MAX_AVG,
THT_PROCESS,,Assembly Processes,THT,m2,m2,0.01,,"mounting, through-hole technology, Pb-free solder",AUTO,,,Assambly THT components in the PCB,1,0.01,YES,100,100,,,,,,,EcoInvent,Input,It is all THT,13,1,8,AREA_LW_MM_TO_M2,,,,
C1-C3,,Passives,Capacitors ,kg,kg,0.0398034,0.0398034,"capacitor production, film type, for through-hole mounting",Film,WIMA,MKX2AW41006D00MSSD,±20% 305VAC Metallized Polypropylene RFI Capacitor Class X2 (MKP-X2),3,0.0132678,NO,31.5,13,24,,1.3,1.4,0,,EcoInvent,Input,,2,2,2,CALCULATED,9.828,1.35,MIN_MAX_AVG,
C4,,Passives,Capacitors ,kg,kg,0.00096525,0.00096525,"capacitor production, film type, for through-hole mounting",Film,WIMA,MKY22W14703F00MSSD,±20% 300VAC Metallized Polypropylene RFI Capacitor Class Y2 (MKP-Y2),1,0.00096525,NO,13,5,11,,1.3,1.4,0,,EcoInvent,Input,,3,2,2,CALCULATED,0.715,1.35,MIN_MAX_AVG,
C1b-C3b,,Passives,Capacitors ,kg,kg,0.024792075,0.024792075,"capacitor production, film type, for through-hole mounting",Film,WIMA,MKX2AW41005I00MSSD,±20% 305VAC Metallized Polypropylene RFI Capacitor Class X2 (MKP-X2),3,0.008264025,NO,26.5,11,21,,1.3,1.4,0,,EcoInvent,Input,,4,2,2,CALCULATED,6.1215,1.35,MIN_MAX_AVG,
C4b,,Passives,Capacitors ,kg,kg,0.0013365,0.0013365,"capacitor production, film type, for through-hole mounting",Film,WIMA,MKY22W21004B00MSSD,"10 nF, ±20%, 300VAC, Class Y2, MKP-Y2",1,0.0013365,NO,18,5,11,,1.3,1.4,0,,EcoInvent,Input,,5,2,2,CALCULATED,0.99,1.35,MIN_MAX_AVG,
F1-F3,,Passives,Protection,kg,kg,0.024,0.024,"electronic component, passive, unspecified",Fuse,MERSEN,W1014572,"Protistor® Cylindrical Fuse-Links, Size 10x38 gR 690VAC",3,0.008,YES,,,,,,,,,EcoInvent,Input,"It is a big estimation, the other alternative is more described but it doe not have the same technology.",6,3,3,DATASHEET_QTY_KG,,,MISSING,
