Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.4498207126964422,mol H+-Eq,0.008094735042613599,mol H+-Eq/ref
Climate change,47.27421020827556,kg CO2-Eq,0.006258928862303004,kg CO2-Eq/ref
Climate change: biogenic,0.07802098808240787,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,47.1061261005578,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.09006311963535013,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,633.5662377778411,CTUe,0.011170739966255894,CTUe/ref
"Ecotoxicity: freshwater, inorganics",587.641399316072,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",45.92483846176887,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,626.3358704087987,"MJ, net calorific value",0.00963530503515927,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.04040331572758004,kg P-Eq,0.02514438947027989,kg P-Eq/ref
Eutrophication: marine,0.059381502788825466,kg N-Eq,0.0030381658331961347,kg N-Eq/ref
Eutrophication: terrestrial,0.6325185927358951,mol N-Eq,0.0035785046728612825,mol N-Eq/ref
Human toxicity: carcinogenic,3.3332164924649756e-08,CTUh,0.001931974620188476,CTUh/ref
"Human toxicity: carcinogenic, inorganics",2.0743330148098455e-08,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",1.2588834776551274e-08,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,1.942870544967717e-06,CTUh,0.015091897720666454,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",1.832376897121779e-06,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",1.1049364784593771e-07,CTUh,0.0,CTUh/ref
Ionising radiation: human health,4.938937899815963,kBq U235-Eq,0.001170319118809275,kBq U235-Eq/ref
Land use,177.3858671778349,dimensionless,0.00021645669371725816,dimensionless/ref
Material resources: metals/minerals,0.007130409046714471,kg Sb-Eq,0.11207349849914958,kg Sb-Eq/ref
Ozone depletion,1.369166939088326e-06,kg CFC-11-Eq,2.6154904136930574e-05,kg CFC-11-Eq/ref
Particulate matter formation,2.8531491523316954e-06,disease incidence,0.0047922527656583174,disease incidence/ref
Photochemical oxidant formation: human health,0.2960304370128551,kg NMVOC-Eq,0.007245135819088808,kg NMVOC-Eq/ref
Water use,18.06691155933432,m3 world Eq deprived,0.0015753222203519434,m3 world Eq deprived/ref
