Flow,Amount,Unit,Is input
Water,95.45792372511511,m3,False
"Transformation, to industrial area",0.12398391217160609,m2,True
"Transformation, to lake, artificial",0.09722498888857563,m2,True
"Water, turbine use, unspecified natural origin",148491.31837321393,m3,True
"Transformation, from forest, unspecified",0.04893095312474044,m2,True
"Energy, potential (in hydropower reservoir), converted",23741.926608915324,MJ,True
"Carbon dioxide, from soil or biomass stock",1.2430946747342444,kg,False
Water,148504.74057043437,m3,False
"Methane, non-fossil",0.16220183274669958,kg,False
"Volume occupied, reservoir",471.59439859167264,m3*a,True
"Occupation, lake, artificial",13.846599371926127,m2*a,True
Water,116.39905451829989,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.05179656062269972,kg,False
"Hydrocarbons, unspecified",0.00030662136324962935,kg,False
Cadmium II,6.91828728644588e-06,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",3.973890320438584e-10,kg,False
Selenium IV,6.485243657419762e-06,kg,False
Chromium VI,2.0045280341647647e-06,kg,False
Vanadium V,4.2157439636601553e-07,kg,False
Copper ion,0.0014292375023071781,kg,False
"TOC, Total Organic Carbon",0.006172468629714678,kg,False
Ammonia,0.6729051311623857,kg,False
Arsenic ion,4.822707013863401e-05,kg,False
Chromium III,8.556015770667793e-05,kg,False
Zinc II,0.0006665719385698867,kg,False
Nitrogen,0.0001668500593547025,kg,False
"Water, unspecified natural origin",1.5359364054457503,m3,True
"AOX, Adsorbable Organic Halides",2.4233126220553276e-05,kg,False
Benzene,0.00026554523075213995,kg,False
Rhodium III,1.7091462006272215e-08,kg,False
Mercury II,9.854839370131815e-07,kg,False
Chloride,0.10346098256750785,kg,False
Tin ion,9.476239485474695e-05,kg,False
Formaldehyde,0.0009534367025999271,kg,False
Nickel II,9.814277403841563e-05,kg,False
Sulfate,0.09086693683408413,kg,False
Sulfide,0.00016750304445051908,kg,False
Selenium IV,8.615981651823509e-07,kg,False
"Suspended solids, unspecified",0.010506033464673884,kg,False
Nitrogen oxides,4.483645994192257,kg,False
Tellurium,2.6091507212834973e-08,kg,False
Platinum,1.7091462006272215e-08,kg,False
"PAH, polycyclic aromatic hydrocarbons",6.376015791892242e-08,kg,False
Beryllium II,1.818974026356179e-07,kg,False
Palladium II,1.7109464977288053e-08,kg,False
Vanadium V,0.00018098332151970505,kg,False
Copper ion,0.00018588152255675797,kg,False
Antimony ion,0.00012334671930318847,kg,False
Ammonium,0.0018526191073283843,kg,False
Cobalt II,3.095505654629969e-05,kg,False
Arsenic ion,1.1401152767838858e-06,kg,False
Fluoride,0.000948436638943871,kg,False
Barium II,3.029438803140928e-05,kg,False
Hydrogen fluoride,0.0012753414636212821,kg,False
Lead II,0.0005670324692559711,kg,False
Hydrochloric acid,0.003775455446907327,kg,False
Boron,8.392803573237608e-06,kg,False
Chromium III,0.008462691780222522,kg,False
Sodium I,0.02728053400846394,kg,False
"NMVOC, non-methane volatile organic compounds",0.8541829205353709,kg,False
t-Butyl methyl ether,4.196401786618793e-07,kg,False
Cyanide,0.00015585523068542594,kg,False
"Heat, waste",31.796462240219082,MJ,False
Nickel II,0.0004382999772225668,kg,False
Hydrogen sulfide,0.0029381393705878267,kg,False
Cobalt II,3.989172724829872e-07,kg,False
Mercury II,8.603528499124564e-06,kg,False
Benzene,0.0018724238365603449,kg,False
"Particulate Matter, < 2.5 um",0.12152872613735949,kg,False
"Carbon monoxide, fossil",1.4236392938657294,kg,False
Cadmium II,4.757853135174619e-06,kg,False
"Xylenes, unspecified",0.00041902709437787356,kg,False
Dinitrogen monoxide,0.04425261367573588,kg,False
Toluene,0.0005325258353700978,kg,False
"Particulate Matter, > 10 um",0.1663126983203481,kg,False
Thallium I,9.254658707642763e-07,kg,False
Aluminium III,5.382071269901442e-05,kg,False
Nitrate,0.0003128444912684652,kg,False
"Xylenes, unspecified",1.7267203177279787e-06,kg,False
Nitrite,1.4503731919257686e-06,kg,False
"BOD5, Biological Oxygen Demand",0.01954333152426126,kg,False
Molybdenum VI,2.0982008933093992e-07,kg,False
"Heat, waste",5.040919783528789,MJ,False
Water,5.511387097095029,m3,False
Benzo(a)pyrene,8.637709807068479e-07,kg,False
"Water, cooling, unspecified natural origin",102.504546903244,m3,True
Manganese II,7.581034954244818e-05,kg,False
Zinc II,0.00012083037038346104,kg,False
