Flow,Amount,Unit,Is input
Water,87.94597451507643,m3,False
"Transformation, to industrial area",0.054703202878798235,m2,True
"Transformation, to lake, artificial",0.0743270073821367,m2,True
"Water, turbine use, unspecified natural origin",142957.1375344353,m3,True
"Transformation, from forest, unspecified",0.016252706590700196,m2,True
"Energy, potential (in hydropower reservoir), converted",22639.13937291505,MJ,True
"Carbon dioxide, from soil or biomass stock",0.37038151170849565,kg,False
Water,142947.65149909732,m3,False
"Methane, non-fossil",0.24748065905125594,kg,False
"Volume occupied, reservoir",433.02957109930446,m3*a,True
"Occupation, lake, artificial",10.872542170961735,m2*a,True
Water,40.08066350408143,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.015819798233792457,kg,False
"Hydrocarbons, unspecified",0.00024836130398867213,kg,False
Cadmium II,2.199036033142223e-06,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",2.3748929790294397e-10,kg,False
Selenium IV,4.232025027490378e-06,kg,False
Chromium VI,6.891079569772692e-06,kg,False
Vanadium V,1.272008758704651e-07,kg,False
Copper ion,0.00028784797053430937,kg,False
"TOC, Total Organic Carbon",0.0029981021028427438,kg,False
Ammonia,0.08794609469743744,kg,False
Arsenic ion,6.94408467640818e-06,kg,False
Chromium III,4.390513436016975e-05,kg,False
Zinc II,0.00017203143348599274,kg,False
Nitrogen,3.9512533933373965e-05,kg,False
"Water, unspecified natural origin",1.0767830294464216,m3,True
"AOX, Adsorbable Organic Halides",4.526339803976466e-06,kg,False
Benzene,4.1480648869444906e-05,kg,False
Rhodium III,5.7251876823143006e-09,kg,False
Mercury II,2.3506744004132882e-06,kg,False
Chloride,0.12737049359442132,kg,False
Tin ion,2.5404934683616234e-05,kg,False
Formaldehyde,0.00025966885087275914,kg,False
Nickel II,8.657538405663119e-05,kg,False
Sulfate,0.016723862635616354,kg,False
Sulfide,4.913266443695738e-05,kg,False
Selenium IV,2.589601733522354e-07,kg,False
"Suspended solids, unspecified",0.010669143935760796,kg,False
Nitrogen oxides,0.74889524056374,kg,False
Tellurium,9.888864416434709e-09,kg,False
Platinum,5.7251876823143006e-09,kg,False
"PAH, polycyclic aromatic hydrocarbons",2.0284385189708925e-08,kg,False
Beryllium II,6.96914137372854e-08,kg,False
Palladium II,5.732461878685044e-09,kg,False
Vanadium V,6.211189943731822e-05,kg,False
Copper ion,6.594294269519801e-05,kg,False
Antimony ion,3.2424950498722644e-05,kg,False
Ammonium,0.0002433159269917602,kg,False
Cobalt II,4.801402576444004e-06,kg,False
Arsenic ion,4.711865076056781e-06,kg,False
Fluoride,0.00021790394351355163,kg,False
Barium II,8.68277093099536e-06,kg,False
Hydrogen fluoride,0.0008967658970829332,kg,False
Lead II,0.00014851982262970338,kg,False
Hydrochloric acid,0.005088848297911916,kg,False
Boron,2.5358907972957874e-06,kg,False
Chromium III,0.0010775092362781808,kg,False
Sodium I,0.06988518735165226,kg,False
"NMVOC, non-methane volatile organic compounds",0.14495204102626952,kg,False
t-Butyl methyl ether,1.2679453986478926e-07,kg,False
