Impact category,Amount (Normalized),Normalized Unit
Acidification,0.0014151673281152196,mol H+-Eq/ref
Climate change,0.0014128462775832096,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.0033652526077317356,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.0022011178026012466,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.00711666296606829,kg P-Eq/ref
Eutrophication: marine,0.0008822912742657086,kg N-Eq/ref
Eutrophication: terrestrial,0.001135913525010608,mol N-Eq/ref
Human toxicity: carcinogenic,0.0010865066882058574,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.0016727134133119822,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.0003110544139523445,kBq U235-Eq/ref
Land use,7.815693407593813e-05,dimensionless/ref
Material resources: metals/minerals,0.08777373263031468,kg Sb-Eq/ref
Ozone depletion,1.934159035133302e-06,kg CFC-11-Eq/ref
Particulate matter formation,0.0011883121812056754,disease incidence/ref
Photochemical oxidant formation: human health,0.001687180892501618,kg NMVOC-Eq/ref
Water use,0.0007522909280291531,m3 world Eq deprived/ref
