Flow,Amount,Unit,Is input
Water,0.14214659425147652,m3,False
"Transformation, to industrial area",0.0007344094483033559,m2,True
"Transformation, to lake, artificial",0.0006427880310462145,m2,True
"Water, turbine use, unspecified natural origin",98.1514834055025,m3,True
"Transformation, from forest, unspecified",0.0007115495125297075,m2,True
"Energy, potential (in hydropower reservoir), converted",13.464651853159385,MJ,True
"Carbon dioxide, from soil or biomass stock",0.026219152834779248,kg,False
Water,99.00579533903262,m3,False
"Methane, non-fossil",0.0009052630258458221,kg,False
"Volume occupied, reservoir",0.7142720144487421,m3*a,True
"Occupation, lake, artificial",0.08575152148085437,m2*a,True
Water,1.535529317276543,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.0002455536460228032,kg,False
"Hydrocarbons, unspecified",2.9464769927480483e-06,kg,False
Cadmium II,1.3526386042580162e-07,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",2.017455843273153e-12,kg,False
Selenium IV,3.243925742278813e-08,kg,False
Chromium VI,1.2385572450616464e-08,kg,False
Vanadium V,3.1673559576405313e-09,kg,False
Copper ion,5.9564995705421125e-06,kg,False
"TOC, Total Organic Carbon",0.00030793947724063603,kg,False
Ammonia,0.003061134595619978,kg,False
Arsenic ion,2.143002907163664e-07,kg,False
Chromium III,9.350110668981118e-07,kg,False
Zinc II,4.670409302592283e-06,kg,False
Nitrogen,1.2762883097778422e-06,kg,False
"Water, unspecified natural origin",0.020631761514886004,m3,True
"AOX, Adsorbable Organic Halides",1.562682308473114e-07,kg,False
Benzene,5.58129396526731e-06,kg,False
Rhodium III,1.3611245930758382e-10,kg,False
Mercury II,6.17522513624273e-09,kg,False
Chloride,0.022727538681309906,kg,False
Tin ion,3.61230673253623e-07,kg,False
Formaldehyde,6.078357081290834e-06,kg,False
Nickel II,1.0138232681992737e-06,kg,False
Sulfate,0.0012600488507342623,kg,False
Sulfide,5.54397782608858e-06,kg,False
Selenium IV,6.422238147451413e-09,kg,False
"Suspended solids, unspecified",6.390425473771645e-05,kg,False
Nitrogen oxides,0.02243745385803613,kg,False
Tellurium,2.0626100019301042e-10,kg,False
Platinum,1.3611245930758382e-10,kg,False
"PAH, polycyclic aromatic hydrocarbons",3.479248508534064e-10,kg,False
Beryllium II,1.4387533122932105e-09,kg,False
Palladium II,1.3979747355929926e-10,kg,False
Vanadium V,1.3958663401399884e-06,kg,False
Copper ion,1.8043504817337074e-06,kg,False
Antimony ion,4.551557687433815e-07,kg,False
Ammonium,6.97904518361187e-05,kg,False
Cobalt II,1.2137049213988296e-07,kg,False
Arsenic ion,7.934057890635717e-09,kg,False
Fluoride,9.586724056337066e-06,kg,False
Barium II,1.138308553473188e-06,kg,False
Hydrogen fluoride,7.053376198285647e-06,kg,False
Lead II,3.110552292117792e-06,kg,False
Hydrochloric acid,3.165358297574809e-05,kg,False
Boron,6.31649536167194e-08,kg,False
Chromium III,2.241480534541605e-05,kg,False
