Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.22251204051473925,mol H+-Eq,0.004004208701197861,mol H+-Eq/ref
Climate change,25.952237705816216,kg CO2-Eq,0.003435979340588682,kg CO2-Eq/ref
Climate change: biogenic,0.06286612785850187,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,25.798969848456494,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.09040172950122582,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,296.3539520355527,CTUe,0.005225172584594461,CTUe/ref
"Ecotoxicity: freshwater, inorganics",289.828955044312,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",6.524996991240908,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,335.6947198802121,"MJ, net calorific value",0.005164195725573042,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.01821645181000845,kg P-Eq,0.011336731919869884,kg P-Eq/ref
Eutrophication: marine,0.03161509378285641,kg N-Eq,0.0016175390186056577,kg N-Eq/ref
Eutrophication: terrestrial,0.32554775729887864,mol N-Eq,0.001841802255479274,mol N-Eq/ref
Human toxicity: carcinogenic,3.1594783469005266e-08,CTUh,0.001831273784059797,CTUh/ref
"Human toxicity: carcinogenic, inorganics",1.3990888008159521e-08,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",1.760389546084574e-08,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,1.3364396202794863e-06,CTUh,0.010381242389692753,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",1.2504791627905479e-06,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",8.596045748893828e-08,CTUh,0.0,CTUh/ref
Ionising radiation: human health,2.4685467410897606,kBq U235-Eq,0.0005849410349701556,kBq U235-Eq/ref
Land use,117.20340690618073,dimensionless,0.00014301850736438127,dimensionless/ref
Material resources: metals/minerals,0.0017490825385126257,kg Sb-Eq,0.027491522291446618,kg Sb-Eq/ref
Ozone depletion,3.9762835318662005e-07,kg CFC-11-Eq,7.595809658277698e-06,kg CFC-11-Eq/ref
Particulate matter formation,1.479403816981642e-06,disease incidence,0.0024848602911845,disease incidence/ref
Photochemical oxidant formation: human health,0.10556232845237394,kg NMVOC-Eq,0.0025835634157561306,kg NMVOC-Eq/ref
Water use,8.083504035902465,m3 world Eq deprived,0.0007048312316270042,m3 world Eq deprived/ref
