Impact category,Amount (Normalized),Normalized Unit
Acidification,0.004004208701197861,mol H+-Eq/ref
Climate change,0.003435979340588682,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.005225172584594461,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.005164195725573042,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.011336731919869884,kg P-Eq/ref
Eutrophication: marine,0.0016175390186056577,kg N-Eq/ref
Eutrophication: terrestrial,0.001841802255479274,mol N-Eq/ref
Human toxicity: carcinogenic,0.001831273784059797,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.010381242389692753,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.0005849410349701556,kBq U235-Eq/ref
Land use,0.00014301850736438127,dimensionless/ref
Material resources: metals/minerals,0.027491522291446618,kg Sb-Eq/ref
Ozone depletion,7.595809658277698e-06,kg CFC-11-Eq/ref
Particulate matter formation,0.0024848602911845,disease incidence/ref
Photochemical oxidant formation: human health,0.0025835634157561306,kg NMVOC-Eq/ref
Water use,0.0007048312316270042,m3 world Eq deprived/ref
