Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.8769509375214766,mol H+-Eq,0.015781144096400104,mol H+-Eq/ref
Climate change,91.02535957082752,kg CO2-Eq,0.012051417627271731,kg CO2-Eq/ref
Climate change: biogenic,0.13414225926195733,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,90.73318241503975,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.15803489652582356,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,901.8142403165976,CTUe,0.015900361755033607,CTUe/ref
"Ecotoxicity: freshwater, inorganics",699.8294374741967,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",201.98480284240142,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,1228.0766336974812,"MJ, net calorific value",0.018892248602181545,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.054019107357181156,kg P-Eq,0.03361797045034697,kg P-Eq/ref
Eutrophication: marine,0.10410043986222094,kg N-Eq,0.0053261434075664,kg N-Eq/ref
Eutrophication: terrestrial,1.0777830055990465,mol N-Eq,0.006097609724299558,mol N-Eq/ref
Human toxicity: carcinogenic,4.741315214492372e-08,CTUh,0.0027481265262607286,CTUh/ref
"Human toxicity: carcinogenic, inorganics",2.4137884913552824e-08,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",2.327526723137091e-08,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,2.2074940023794857e-06,CTUh,0.017147449061486183,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",2.0643365290637622e-06,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",1.431574733157231e-07,CTUh,0.0,CTUh/ref
Ionising radiation: human health,8.821633757825818,kBq U235-Eq,0.002090353605438442,kBq U235-Eq/ref
Land use,275.27237143867586,dimensionless,0.00033590357755834856,dimensionless/ref
Material resources: metals/minerals,0.005238523885885359,kg Sb-Eq,0.08233745007000041,kg Sb-Eq/ref
Ozone depletion,2.3688686343480673e-06,kg CFC-11-Eq,4.525199248939681e-05,kg CFC-11-Eq/ref
Particulate matter formation,5.225490239280516e-06,disease incidence,0.0087769228715742,disease incidence/ref
Photochemical oxidant formation: human health,0.6436069605848088,kg NMVOC-Eq,0.015751825692658036,kg NMVOC-Eq/ref
Water use,29.45205891473501,m3 world Eq deprived,0.0025680361965089563,m3 world Eq deprived/ref
