Flow,Amount,Unit,Is input
Water,228.41497361862113,m3,False
"Transformation, to industrial area",0.21168544853417678,m2,True
"Transformation, to lake, artificial",0.222036997492336,m2,True
"Water, turbine use, unspecified natural origin",363965.4673165154,m3,True
"Transformation, from forest, unspecified",0.0844760356308322,m2,True
"Energy, potential (in hydropower reservoir), converted",57818.32749763166,MJ,True
"Carbon dioxide, from soil or biomass stock",2.366291664247569,kg,False
Water,363979.184638043,m3,False
"Methane, non-fossil",0.5079626593926985,kg,False
"Volume occupied, reservoir",1132.719705788526,m3*a,True
"Occupation, lake, artificial",31.843890379595933,m2*a,True
Water,199.00610719863508,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.08346840946136903,kg,False
"Hydrocarbons, unspecified",0.000857738664551878,kg,False
Cadmium II,1.3916356078787406e-05,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",1.7492447953528304e-09,kg,False
Selenium IV,1.1798689567142263e-05,kg,False
Chromium VI,9.568106913999386e-06,kg,False
Vanadium V,6.666861105786805e-07,kg,False
Copper ion,0.0018997127503849222,kg,False
"TOC, Total Organic Carbon",0.01944401892048566,kg,False
Ammonia,0.7992150681950275,kg,False
Arsenic ion,6.045993459289272e-05,kg,False
Chromium III,0.00014189463681959865,kg,False
Zinc II,0.0010099256472956813,kg,False
Nitrogen,0.00025006699080929275,kg,False
"Water, unspecified natural origin",3.866786719960654,m3,True
"AOX, Adsorbable Organic Halides",3.730628090417804e-05,kg,False
Benzene,0.00047577277457025875,kg,False
Rhodium III,2.757991965116571e-08,kg,False
Mercury II,3.5816630271193357e-06,kg,False
Chloride,0.49103091747387406,kg,False
Tin ion,0.00013469265429680554,kg,False
Formaldehyde,0.0013900341547763906,kg,False
Nickel II,0.00020107088239158943,kg,False
Sulfate,0.14073423603407184,kg,False
Sulfide,0.00037313003708143975,kg,False
Selenium IV,1.3800418498519195e-06,kg,False
"Suspended solids, unspecified",0.024490024610468536,kg,False
Nitrogen oxides,5.615761968811638,kg,False
Tellurium,4.365671837546551e-08,kg,False
Platinum,2.757991965116571e-08,kg,False
"PAH, polycyclic aromatic hydrocarbons",2.4589420363826366e-07,kg,False
Beryllium II,3.0886280874980875e-07,kg,False
Palladium II,2.765529161471928e-08,kg,False
Vanadium V,0.00029091316368672456,kg,False
Copper ion,0.0002903915083728286,kg,False
Antimony ion,0.00017440540844335665,kg,False
Ammonium,0.0031047229532606864,kg,False
Cobalt II,3.860958391942798e-05,kg,False
Arsenic ion,6.294297164171041e-06,kg,False
Fluoride,0.003028754492550241,kg,False
Barium II,6.807783985162103e-05,kg,False
Hydrogen fluoride,0.004986922000538765,kg,False
Lead II,0.0008077986150696853,kg,False
Hydrochloric acid,0.010995468611935599,kg,False
Boron,1.3273019864361693e-05,kg,False
Chromium III,0.009862007852230032,kg,False
Sodium I,0.25031613679802633,kg,False
"NMVOC, non-methane volatile organic compounds",1.0618390741214039,kg,False
t-Butyl methyl ether,6.636509932180831e-07,kg,False
Cyanide,0.00031766480842646336,kg,False
"Heat, waste",65.49764749251393,MJ,False
Nickel II,0.0005766971750875796,kg,False
Hydrogen sulfide,0.008323312853090608,kg,False
Cobalt II,6.527379013784458e-07,kg,False
Mercury II,1.6477283155182076e-05,kg,False
Benzene,0.003024958735192871,kg,False
"Particulate Matter, < 2.5 um",0.27342403839813506,kg,False
"Carbon monoxide, fossil",3.134172546976718,kg,False
Cadmium II,2.0085049672454584e-05,kg,False
"Xylenes, unspecified",0.0006475363379088301,kg,False
Dinitrogen monoxide,0.10340465502452953,kg,False
Toluene,0.0006376497756438745,kg,False
"Particulate Matter, > 10 um",0.3127418412732023,kg,False
Thallium I,1.7197183088687934e-06,kg,False
Aluminium III,6.963548950790525e-05,kg,False
Nitrate,0.000610399999887502,kg,False
"Xylenes, unspecified",4.126101047640813e-06,kg,False
Nitrite,2.4875418538208706e-06,kg,False
"BOD5, Biological Oxygen Demand",0.06953814533294925,kg,False
Molybdenum VI,3.31825496609042e-07,kg,False
"Heat, waste",8.233145465595095,MJ,False
Water,8.749428711991523,m3,False
Benzo(a)pyrene,1.7306949256271401e-06,kg,False
"Water, cooling, unspecified natural origin",228.39493383218246,m3,True
Manganese II,0.00017925758525397592,kg,False
Zinc II,0.00026224018999517965,kg,False
Iron ion,0.006602896381458476,kg,False
Manganese II,6.324756344643678e-05,kg,False
Toluene,0.0001140889131608146,kg,False
"PAH, polycyclic aromatic hydrocarbons",0.00032542680876829693,kg,False
Lead II,0.00013173482825245693,kg,False
Tin ion,3.3300606678431165e-07,kg,False
Phenol,0.00022587013476311704,kg,False
"Carbon dioxide, fossil",308.0391211126462,kg,False
"Methane, fossil",0.022666080734977657,kg,False
Phosphorus,4.882922207343236e-05,kg,False
"Carbon dioxide, non-fossil",3.66504323163921,kg,False
Sulfur dioxide,0.48384235925952257,kg,False
"DOC, Dissolved Organic Carbon",0.019243544158931796,kg,False
"COD, Chemical Oxygen Demand",0.07402439011911448,kg,False
"Water, well, in ground",2.7630017108620875,m3,True
"DOC, Dissolved Organic Carbon",1.9215406310599659,kg,False
Chloride,7.698371496513161,kg,False
"COD, Chemical Oxygen Demand",0.9091162871484199,kg,False
Phenol,0.0010679376842022924,kg,False
Chlorine,0.0017651756407033848,kg,False
"Water, river",24.765470945099594,m3,True
Sodium I,4.888211259269058,kg,False
"Carbon dioxide, fossil",268.40318667961446,kg,False
Phenol,5.807059591371266e-05,kg,False
"TOC, Total Organic Carbon",0.4960879554413992,kg,False
"BOD5, Biological Oxygen Demand",0.36364549891255943,kg,False
Hydrogen,0.6065814210752031,kg,False
Ammonia,0.013708580206564788,kg,False
Benzene,0.004405201480643932,kg,False
"NMVOC, non-methane volatile organic compounds",0.9322191180233464,kg,False
Nickel II,0.10411483097574369,kg,False
"PAH, polycyclic aromatic hydrocarbons",0.000632901510009702,kg,False
"Carbon dioxide, fossil",850.8804089558166,kg,False
Selenium IV,0.00038151982646021947,kg,False
Lead II,2.910345770135924e-05,kg,False
"Methane, fossil",3.6164336853099206,kg,False
Sulfur dioxide,36.518887693101725,kg,False
Cadmium II,1.3255989460028945e-05,kg,False
Benzo(a)pyrene,4.412939956553175e-05,kg,False
