Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.018334462015936224,mol H+-Eq,0.0003299372571756649,mol H+-Eq/ref
Climate change,54.14428238977887,kg CO2-Eq,0.007168500759400267,kg CO2-Eq/ref
Climate change: biogenic,0.006788611048268395,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,54.1354600833135,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0020336954171082593,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,1930.5575296983066,CTUe,0.0340386764133715,CTUe/ref
"Ecotoxicity: freshwater, inorganics",1929.8876467166458,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.6698829816607338,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,45.83233914167888,"MJ, net calorific value",0.0007050667045729243,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.001481880652896979,kg P-Eq,0.0009222259018578335,kg P-Eq/ref
Eutrophication: marine,0.00695020217923768,kg N-Eq,0.0003555967060964793,kg N-Eq/ref
Eutrophication: terrestrial,0.06152412675497486,mol N-Eq,0.0003480757366105061,mol N-Eq/ref
Human toxicity: carcinogenic,9.135091411625965e-09,CTUh,0.0005294815023344462,CTUh/ref
"Human toxicity: carcinogenic, inorganics",2.616995862626488e-09,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",6.518095548999477e-09,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,1.3268984990708805e-07,CTUh,0.0010307128534915487,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",1.3113791488168244e-07,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",1.5519350254055886e-09,CTUh,0.0,CTUh/ref
Ionising radiation: human health,0.3462827615509273,kBq U235-Eq,8.205434945278914e-05,kBq U235-Eq/ref
Land use,18.024758540175938,dimensionless,2.199487310196443e-05,dimensionless/ref
Material resources: metals/minerals,3.634180825846015e-05,kg Sb-Eq,0.0005712089680447771,kg Sb-Eq/ref
Ozone depletion,1.0196930530680388e-07,kg CFC-11-Eq,1.9478978998607063e-06,kg CFC-11-Eq/ref
Particulate matter formation,1.334187668399826e-07,disease incidence,0.00022409499827834363,disease incidence/ref
Photochemical oxidant formation: human health,0.01991807688409175,kg NMVOC-Eq,0.00048748086087523263,kg NMVOC-Eq/ref
Water use,42.16225575749811,m3 world Eq deprived,0.003676286239450417,m3 world Eq deprived/ref
