Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.17486431202339,mol H+-Eq,0.003146765442954333,mol H+-Eq/ref
Climate change,10.727286963949286,kg CO2-Eq,0.0014202527275879388,kg CO2-Eq/ref
Climate change: biogenic,0.02257419806768709,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,10.681000663329348,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.023712102552250886,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,165.06817916267588,CTUe,0.002910403989639618,CTUe/ref
"Ecotoxicity: freshwater, inorganics",162.67275634305585,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",2.395422819620083,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,141.668568323712,"MJ, net calorific value",0.0021793736143554134,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.012062288554032363,kg P-Eq,0.007506781952018152,kg P-Eq/ref
Eutrophication: marine,0.015841153854788705,kg N-Eq,0.0008104889593511453,kg N-Eq/ref
Eutrophication: terrestrial,0.18035654057290648,mol N-Eq,0.0010203758919237456,mol N-Eq/ref
Human toxicity: carcinogenic,1.349452869394971e-08,CTUh,0.0007821600249204314,CTUh/ref
"Human toxicity: carcinogenic, inorganics",9.15889206390522e-09,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",4.335636630044498e-09,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,9.175930403386586e-07,CTUh,0.007127711287741257,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",8.617245657955066e-07,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",5.586847454315174e-08,CTUh,0.0,CTUh/ref
Ionising radiation: human health,1.2134069359645736,kBq U235-Eq,0.00028752605618062897,kBq U235-Eq/ref
Land use,55.70904022473806,dimensionless,6.797945546089881e-05,dimensionless/ref
Material resources: metals/minerals,0.002219730567474144,kg Sb-Eq,0.034889018118386746,kg Sb-Eq/ref
Ozone depletion,1.6677131285865445e-07,kg CFC-11-Eq,3.185796834615779e-06,kg CFC-11-Eq/ref
Particulate matter formation,7.739225440686942e-07,disease incidence,0.0012999083658796914,disease incidence/ref
Photochemical oxidant formation: human health,0.06810884044921633,kg NMVOC-Eq,0.0016669157554018458,kg NMVOC-Eq/ref
Water use,4.654315817978668,m3 world Eq deprived,0.00040582736592902654,m3 world Eq deprived/ref
