Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.20370826008837753,mol H+-Eq,0.003665825838749282,mol H+-Eq/ref
Climate change,20.02284353842945,kg CO2-Eq,0.0026509496991261247,kg CO2-Eq/ref
Climate change: biogenic,0.03865644817177779,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,19.943366568171193,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.040820522086476234,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,471.2872422285155,CTUe,0.008309513541652186,CTUe/ref
"Ecotoxicity: freshwater, inorganics",467.7312204577594,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",3.556021770755825,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,261.6315493250888,"MJ, net calorific value",0.004024836998275704,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.02495948470904901,kg P-Eq,0.015533155960104008,kg P-Eq/ref
Eutrophication: marine,0.02902766611063262,kg N-Eq,0.001485157149161023,kg N-Eq/ref
Eutrophication: terrestrial,0.31905861806960056,mol N-Eq,0.0018050896349784643,mol N-Eq/ref
Human toxicity: carcinogenic,1.5832873640139766e-08,CTUh,0.0009176934683525534,CTUh/ref
"Human toxicity: carcinogenic, inorganics",9.811457682173993e-09,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",6.021415957965778e-09,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,8.378059497282819e-07,CTUh,0.0065079383368155126,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",8.011540504331995e-07,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",3.665189929508261e-08,CTUh,0.0,CTUh/ref
Ionising radiation: human health,2.116721462108517,kBq U235-Eq,0.0005015733436113517,kBq U235-Eq/ref
Land use,107.67785379262367,dimensionless,0.00013139486583311087,dimensionless/ref
Material resources: metals/minerals,0.006269379746650664,kg Sb-Eq,0.09854011418189373,kg Sb-Eq/ref
Ozone depletion,8.092466020115873e-07,kg CFC-11-Eq,1.545886531034946e-05,kg CFC-11-Eq/ref
Particulate matter formation,1.3003812678052005e-06,disease incidence,0.002184167526593178,disease incidence/ref
Photochemical oxidant formation: human health,0.09507766993742629,kg NMVOC-Eq,0.002326958805351617,kg NMVOC-Eq/ref
Water use,7.3431525934845014,m3 world Eq deprived,0.0006402771945808627,m3 world Eq deprived/ref
