Impact category,Amount (Normalized),Normalized Unit
Acidification,0.001651618480451933,mol H+-Eq/ref
Climate change,0.0008108110080135442,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.0030601010680259676,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.0012646845489787978,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.00517233227802212,kg P-Eq/ref
Eutrophication: marine,0.0005341559109474711,kg N-Eq/ref
Eutrophication: terrestrial,0.0006774709775432176,mol N-Eq/ref
Human toxicity: carcinogenic,0.00038885665782155496,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.0018276361006733563,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.00014916211327992395,kBq U235-Eq/ref
Land use,5.48801205584674e-05,dimensionless/ref
Material resources: metals/minerals,0.04377707420035306,kg Sb-Eq/ref
Ozone depletion,2.616600088836269e-06,kg CFC-11-Eq/ref
Particulate matter formation,0.0007544548580559587,disease incidence/ref
Photochemical oxidant formation: human health,0.001078063553340031,kg NMVOC-Eq/ref
Water use,0.00024333606416416734,m3 world Eq deprived/ref
