Impact category,Amount (Raw),Unit,Amount (Normalized),Normalized Unit
Acidification,0.019761806391724698,mol H+-Eq,0.0003556229897585696,mol H+-Eq/ref
Climate change,3.444483502366193,kg CO2-Eq,0.00045603675056029474,kg CO2-Eq/ref
Climate change: biogenic,0.00113282396371941,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: fossil,3.441054283536933,kg CO2-Eq,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.002296394865540348,kg CO2-Eq,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,7.303399183517799,CTUe,0.00012877007688255377,CTUe/ref
"Ecotoxicity: freshwater, inorganics",6.94949369788276,CTUe,0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.35390548563504215,CTUe,0.0,CTUe/ref
Energy resources: non-renewable,48.173241702924756,"MJ, net calorific value",0.0007410782301789352,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.0004496265610068004,kg P-Eq,0.0002798182565600712,kg P-Eq/ref
Eutrophication: marine,0.008087358351629582,kg N-Eq,0.0004137776019598847,kg N-Eq/ref
Eutrophication: terrestrial,0.08787038822607185,mol N-Eq,0.0004971309910638909,mol N-Eq/ref
Human toxicity: carcinogenic,5.793486946347415e-10,CTUh,3.3579786275625634e-05,CTUh/ref
"Human toxicity: carcinogenic, inorganics",2.240804199514703e-10,CTUh,0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",3.5526827468327133e-10,CTUh,0.0,CTUh/ref
Human toxicity: non-carcinogenic,2.5515192459126803e-08,CTUh,0.00019819780371556364,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",2.3871288930518352e-08,CTUh,0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",1.6439035286084476e-09,CTUh,0.0,CTUh/ref
Ionising radiation: human health,0.14895556573391433,kBq U235-Eq,3.529616082800868e-05,kBq U235-Eq/ref
Land use,41.94041387301375,dimensionless,5.117816579482467e-05,dimensionless/ref
Material resources: metals/minerals,8.926491662604278e-06,kg Sb-Eq,0.00014030375303819686,kg Sb-Eq/ref
Ozone depletion,7.167695720180184e-08,kg CFC-11-Eq,1.3692296322085413e-06,kg CFC-11-Eq/ref
Particulate matter formation,2.8703819191682784e-07,disease incidence,0.00048211975456622193,disease incidence/ref
Photochemical oxidant formation: human health,0.028299203627149522,kg NMVOC-Eq,0.0006926030171750395,kg NMVOC-Eq/ref
Water use,0.39552332864438455,m3 world Eq deprived,3.4487172101041755e-05,m3 world Eq deprived/ref
