Flow,Amount,Unit,Is input
Water,95.25468650142142,m3,False
"Transformation, to industrial area",0.017328677751965116,m2,True
"Transformation, to lake, artificial",0.07650333927982057,m2,True
"Water, turbine use, unspecified natural origin",155419.25854851567,m3,True
"Transformation, from forest, unspecified",0.0027729128157323534,m2,True
"Energy, potential (in hydropower reservoir), converted",25163.12669919696,MJ,True
"Carbon dioxide, from soil or biomass stock",0.06688967147074128,kg,False
Water,155325.8175821121,m3,False
"Methane, non-fossil",0.1312916863600505,kg,False
"Volume occupied, reservoir",487.07030239908704,m3*a,True
"Occupation, lake, artificial",11.342771341499411,m2*a,True
Water,2.2798244902546565,m3,False
"Particulate Matter, > 2.5 um and < 10um",0.003572764212276333,kg,False
"Hydrocarbons, unspecified",2.5041923199450226e-05,kg,False
Cadmium II,4.975146599238815e-07,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",9.27236262995153e-11,kg,False
Selenium IV,4.860444157140313e-07,kg,False
Chromium VI,6.507691247143845e-07,kg,False
Vanadium V,3.082135468475484e-08,kg,False
Copper ion,5.96748942319962e-05,kg,False
"TOC, Total Organic Carbon",0.0002769718166503503,kg,False
Ammonia,0.0027031253970675956,kg,False
Arsenic ion,7.33352429441343e-07,kg,False
Chromium III,3.5972853255157603e-06,kg,False
Zinc II,4.32920051985049e-05,kg,False
Nitrogen,9.03018174439189e-06,kg,False
"Water, unspecified natural origin",0.4532870934793575,m3,True
"AOX, Adsorbable Organic Halides",5.921691754581644e-07,kg,False
Benzene,3.5080591969011687e-06,kg,False
Rhodium III,1.3589241232559548e-09,kg,False
Mercury II,1.9937174030913897e-07,kg,False
Chloride,0.008924142501197595,kg,False
Tin ion,7.744001090007171e-06,kg,False
Formaldehyde,7.187598173855925e-05,kg,False
Nickel II,7.248015352027682e-06,kg,False
Sulfate,0.0020163092284517193,kg,False
Sulfide,6.116241195227049e-06,kg,False
Selenium IV,6.317769091410182e-08,kg,False
"Suspended solids, unspecified",0.0010082454187660735,kg,False
Nitrogen oxides,0.10811888298849665,kg,False
Tellurium,2.4865488208944353e-09,kg,False
Platinum,1.3589241232559548e-09,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.0913240520617801e-08,kg,False
Beryllium II,3.9820290241097144e-08,kg,False
Palladium II,1.360582896701723e-09,kg,False
Vanadium V,1.4433149240976401e-05,kg,False
Copper ion,5.698254597281219e-06,kg,False
Antimony ion,9.800624141103598e-06,kg,False
Ammonium,1.4538188253683526e-05,kg,False
Cobalt II,5.580549238136766e-07,kg,False
Arsenic ion,4.0931726683195433e-07,kg,False
Fluoride,0.00010001784367609364,kg,False
Barium II,1.1744448041575484e-06,kg,False
Hydrogen fluoride,0.00022488300423699083,kg,False
Lead II,1.8912463753118716e-05,kg,False
Hydrochloric acid,0.00045889072425779343,kg,False
Boron,6.153966821291165e-07,kg,False
Chromium III,4.561666818781473e-05,kg,False
Sodium I,0.0054662427757964675,kg,False
"NMVOC, non-methane volatile organic compounds",0.015366451831056959,kg,False
t-Butyl methyl ether,3.076983410645574e-08,kg,False
Cyanide,6.904990980522407e-06,kg,False
"Heat, waste",4.881210996250302,MJ,False
Nickel II,1.0888081028462272e-05,kg,False
Hydrogen sulfide,0.000184359729516618,kg,False
Cobalt II,5.768095523926976e-09,kg,False
Mercury II,1.6277982481330148e-06,kg,False
Benzene,5.504384966181604e-05,kg,False
"Particulate Matter, < 2.5 um",0.008326499251898326,kg,False
"Carbon monoxide, fossil",0.15194755287488992,kg,False
Cadmium II,1.1913420546675511e-06,kg,False
"Xylenes, unspecified",2.3923855211749733e-05,kg,False
Dinitrogen monoxide,0.03490969042423151,kg,False
Toluene,1.0008712475931996e-05,kg,False
"Particulate Matter, > 10 um",0.01194874258550206,kg,False
Thallium I,3.0655755856120745e-07,kg,False
Aluminium III,1.8892160337621688e-06,kg,False
Nitrate,1.3809214705182457e-05,kg,False
"Xylenes, unspecified",6.806535989661033e-08,kg,False
Nitrite,1.0131240884318936e-07,kg,False
"BOD5, Biological Oxygen Demand",0.0013743737478876458,kg,False
Molybdenum VI,1.538491705322789e-08,kg,False
"Heat, waste",0.40349561894974867,MJ,False
Water,0.20954417094958458,m3,False
Benzo(a)pyrene,9.653121885416738e-08,kg,False
"Water, cooling, unspecified natural origin",1.3146738554367492,m3,True
Manganese II,8.570475161381237e-06,kg,False
Zinc II,1.045570398603677e-05,kg,False
