Impact category,Amount (Normalized),Normalized Unit
Acidification,0.006618626594770832,mol H+-Eq/ref
Climate change,0.008672731968607876,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.005004585772472133,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.007738756347505683,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.0134643985713374,kg P-Eq/ref
Eutrophication: marine,0.0041710043861122705,kg N-Eq/ref
Eutrophication: terrestrial,0.005734381939851706,mol N-Eq/ref
Human toxicity: carcinogenic,0.002077465029549709,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.01063914067860454,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.0006396151974192134,kBq U235-Eq/ref
Land use,0.007597431043891173,dimensionless/ref
Material resources: metals/minerals,0.01970938036316299,kg Sb-Eq/ref
Ozone depletion,1.2191486025699618e-05,kg CFC-11-Eq/ref
Particulate matter formation,0.01049066863877104,disease incidence/ref
Photochemical oxidant formation: human health,0.0068432767401796725,kg NMVOC-Eq/ref
Water use,0.3608685894233796,m3 world Eq deprived/ref
