Flow,Amount,Unit,Is input
wood wool,1e-13,kg,True
"aluminium, primary, cast alloy slab from continuous casting",0.005592,kg,True
Copper ion,0.00011671516142048133,kg,False
Acetaldehyde,1.0017989182326095e-05,kg,False
Molybdenum VI,2.1342794788298679e-07,kg,False
Nitrogen oxides,0.01194743913031165,kg,False
Lead II,2.72821909731742e-06,kg,False
"Particulate Matter, > 2.5 um and < 10um",0.0012556725888835491,kg,False
Chromium VI,5.4581358452897174e-08,kg,False
Arsenic ion,1.5218523968051936e-06,kg,False
"Particulate Matter, > 10 um",0.001984442771876805,kg,False
"Hydrocarbons, aliphatic, unsaturated",4.2847702500685944e-05,kg,False
Sulfur dioxide,0.021242095162622935,kg,False
Methanol,0.00013281820523003445,kg,False
Chromium III,6.493210008172436e-07,kg,False
"PAH, polycyclic aromatic hydrocarbons",2.742063628971308e-06,kg,False
Dinitrogen monoxide,0.0005404828753313605,kg,False
Ammonia,0.00038546645634005163,kg,False
"Methane, fossil",0.0013682032953196723,kg,False
Calcium II,0.00012206256403297957,kg,False
Iron ion,7.237061535918476e-05,kg,False
Acetone,0.0004994491519758749,kg,False
Hydrogen fluoride,0.00026006189683023314,kg,False
Selenium IV,2.9686280116850516e-07,kg,False
"Hydrocarbons, aromatic",9.444706101794269e-06,kg,False
Propane,1.95664432483817e-05,kg,False
Formaldehyde,0.00011059626559446955,kg,False
Ethanol,7.660952964554824e-06,kg,False
Mercury II,8.256431457964477e-08,kg,False
"Hydrocarbons, aliphatic, alkanes, unspecified",0.0016069881325914115,kg,False
Cobalt II,6.49196453993545e-07,kg,False
Sodium I,3.022889895647772e-05,kg,False
Hydrochloric acid,0.0008824121965602053,kg,False
"Carbon dioxide, fossil",4.648563457358658,kg,False
"Carbon monoxide, fossil",0.003651286612204491,kg,False
Nickel II,5.374866417219471e-06,kg,False
Zinc II,1.0369665284140456e-05,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",2.3506710905747224e-12,kg,False
"Particulate Matter, < 2.5 um",0.005475744231281204,kg,False
Vanadium V,1.6849738740504276e-05,kg,False
Benzo(a)pyrene,6.262630365578836e-09,kg,False
Acetic acid,1.6616679392807307e-05,kg,False
Toluene,1.071393407033433e-05,kg,False
Hydrogen,0.0016069313866484078,kg,False
Chloroform,1.789492968417738e-08,kg,False
Carbon tetrachloride,4.3619022877023897e-10,kg,False
Oxygen,2.2369840432338552,kg,True
Oxygen,0.0067274827127614375,kg,False
Methylchloride,3.040738983707043e-07,kg,False
Chlorine,5.5712608215940256e-05,kg,False
Dichloromethane,1.6083726066224354e-09,kg,False
Water,0.34332190042350635,m3,False
Carbon tetrachloride,3.6762860883145785e-08,kg,False
"TOC, Total Organic Carbon",0.00047251740508471587,kg,False
"Water, well, in ground",0.20326121218873358,m3,True
Hydrochloric acid,3.021429175077274e-05,kg,False
Water,281.98909270205456,m3,False
Polydimethylsiloxane,3.221750814478674e-14,kg,False
"DOC, Dissolved Organic Carbon",0.0004734318022597205,kg,False
Chlorine,5.103449999068469e-06,kg,False
Water,0.1815048185132425,m3,False
Methanol,1.78828223341615e-05,kg,False
"COD, Chemical Oxygen Demand",0.0016382773675742168,kg,False
"Water, river",0.3177894098729957,m3,True
Dimethyldichlorosilane,3.9930642465177574e-11,kg,False
Hydrochloric acid,0.00013871401483774834,kg,False
"BOD5, Biological Oxygen Demand",0.0016028094260636244,kg,False
"Water, cooling, unspecified natural origin",2.7897182585161087,m3,True
Dichloromethane,4.312945259820172e-08,kg,False
"Carbon dioxide, fossil",2.814164058462983,kg,False
Silicon,1.0285509758682849e-11,kg,False
Methanol,1.3214373574918324e-05,kg,False
Chloroform,1.889969899947672e-08,kg,False
Sulfur hexafluoride,7.5645836404998e-06,kg,False
Sulfate,0.03860778169885284,kg,False
Sulfate,0.0004537621447818611,kg,False
"Water, unspecified natural origin",0.0715969489252708,m3,True
Fluosilicic acid,1.0619575650131007e-06,kg,False
Fluosilicic acid,5.899764250072781e-07,kg,False
"Water, lake",0.020592144072420212,m3,True
Nitrate,0.007083747196405878,kg,False
"Carbon dioxide, non-fossil",1.1888607280400414,kg,False
"Carbon monoxide, non-fossil",0.0024189160222268823,kg,False
Nitrite,5.535336500548976e-05,kg,False
Sulfite,2.741842431655907e-05,kg,False
Propionic acid,2.2942217463963807e-07,kg,False
Benzene,6.403990305658947e-05,kg,False
"Methane, non-fossil",5.21157556684831e-05,kg,False
Pentane,3.4845653957686576e-05,kg,False
Butane,2.485731306087482e-05,kg,False
Toluene,4.2901978662509296e-05,kg,False
Nitrogen oxides,0.08296030673903916,kg,False
"Carbon monoxide, fossil",0.015402834724464487,kg,False
Benzo(a)pyrene,2.44629252367496e-07,kg,False
Dinitrogen monoxide,0.0005611025620398652,kg,False
"PAH, polycyclic aromatic hydrocarbons",1.8565240285410465e-05,kg,False
Lead II,0.0001545587865745534,kg,False
Acenaphthene,5.696541339531978e-08,kg,False
Sulfur dioxide,0.15563324485926255,kg,False
Arsenic ion,5.7314917477774974e-05,kg,False
Butane,0.0003211570213159955,kg,False
Pentane,0.0002957861513094467,kg,False
Manganese II,3.87933315548833e-05,kg,False
Hexane,0.00016933360122365238,kg,False
Cadmium II,1.8163716453351482e-05,kg,False
"Methane, fossil",0.09185134675150516,kg,False
Mercury II,5.213542905221323e-06,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",1.765488059773675e-11,kg,False
Beryllium II,2.9978163475220994e-07,kg,False
Propionic acid,1.929842485717441e-06,kg,False
Formaldehyde,4.3278434064602344e-05,kg,False
"Carbon dioxide, fossil",31.327282626769342,kg,False
"Particulate Matter, < 2.5 um",0.038819084368454576,kg,False
Propane,0.00025234785079840996,kg,False
Benzene,8.984671379047842e-05,kg,False
Acetaldehyde,2.051015737012029e-05,kg,False
Selenium IV,1.1113136573905958e-05,kg,False
Nickel II,0.00010873862604493023,kg,False
Ethane,0.0005722506676577292,kg,False
Chromium III,0.0001309534543585561,kg,False
Acetic acid,1.638083343621652e-05,kg,False
Cobalt II,3.01649002481059e-06,kg,False
"Water, salt, ocean",4.908594732441569,m3,True
Hypochlorite,0.01774983721085136,kg,False
Water,4.908891200494156,m3,False
Sodium I,0.06805686518135791,kg,False
"Transformation, to pasture, man made",0.0006602056056651148,m2,True
"Transformation, from industrial area",2.4122664092817166e-05,m2,True
"Occupation, industrial area",0.18516370377067104,m2*a,True
"Transformation, from pasture, man made",0.0014058705759646105,m2,True
"Transformation, to industrial area",0.006460520613675533,m2,True
Lead II,0.03227723933555197,kg,False
Mercury II,8.124040404515378e-05,kg,False
Silicon,0.002111764896717179,kg,False
Titanium ion,0.027861475038200176,kg,False
Magnesium,0.4582803171685256,kg,False
Bromine,3.0837648786634863e-06,kg,False
Hydrogen sulfide,0.005675841786506747,kg,False
"DOC, Dissolved Organic Carbon",0.000540071690001363,kg,False
Tin ion,0.005351056385029385,kg,False
Fluoride,0.098979588342835,kg,False
Molybdenum VI,5.2738888796997625e-05,kg,False
Copper ion,0.10719167749177942,kg,False
Aluminium III,0.0028989351212332544,kg,False
Cadmium II,0.0007985304969851235,kg,False
"DOC, Dissolved Organic Carbon",0.4464492143488488,kg,False
Phosphate,0.01821342907646361,kg,False
Nickel II,0.005762080863150745,kg,False
Copper ion,9.117904181269023e-05,kg,False
Antimony ion,0.00021391516197360707,kg,False
Iron ion,2.043844651316895,kg,False
Sodium I,0.440375475862842,kg,False
Tungsten,7.792399081394966e-06,kg,False
"BOD5, Biological Oxygen Demand",0.0001391178489141889,kg,False
Hazardous waste disposed,201.47076869411603,kg,False
"TOC, Total Organic Carbon",0.000540114267670694,kg,False
"COD, Chemical Oxygen Demand",0.0003572616620993032,kg,False
Sulfate,0.1549708373066471,kg,False
Tin ion,1.019462711076145e-05,kg,False
Thallium I,1.9367011707399872e-07,kg,False
Chromium VI,0.0008299579242873468,kg,False
Molybdenum VI,0.0011000118776201644,kg,False
Nitrate,0.003228153012008663,kg,False
"Transformation, to dump site",0.003943389768434559,m2,True
Chloride,0.13913017607947037,kg,False
Beryllium II,0.0003789427274269751,kg,False
Ammonium,0.00016289486969241044,kg,False
Vanadium V,1.61850273449086e-06,kg,False
Tungsten,0.00022735621275821164,kg,False
