Impact category,Amount,Unit
Acidification,13.020311453151574,mol H+-Eq
Climate change,1869.709389920959,kg CO2-Eq
Climate change: biogenic,5.190891255361048,kg CO2-Eq
Climate change: fossil,1860.9801158047133,kg CO2-Eq
Climate change: land use and land use change,3.53838286088463,kg CO2-Eq
Ecotoxicity: freshwater,45673.36116759261,CTUe
"Ecotoxicity: freshwater, inorganics",45167.17330789271,CTUe
"Ecotoxicity: freshwater, organics",506.1878596998592,CTUe
Energy resources: non-renewable,24003.310413572628,"MJ, net calorific value"
Eutrophication: freshwater,2.387549855157827,kg P-Eq
Eutrophication: marine,2.5697683378726155,kg N-Eq
Eutrophication: terrestrial,27.17387710867014,mol N-Eq
Human toxicity: carcinogenic,1.1742688037243226e-06,CTUh
"Human toxicity: carcinogenic, inorganics",8.949333662156125e-07,CTUh
"Human toxicity: carcinogenic, organics",2.793354375087099e-07,CTUh
Human toxicity: non-carcinogenic,7.037585889878863e-05,CTUh
"Human toxicity: non-carcinogenic, inorganics",6.791932705840484e-05,CTUh
"Human toxicity: non-carcinogenic, organics",2.4565318403839333e-06,CTUh
Ionising radiation: human health,203.21346509155507,kBq U235-Eq
Land use,8862.552579704803,dimensionless
Material resources: metals/minerals,0.5737381230179599,kg Sb-Eq
Ozone depletion,0.00017342347059284285,kg CFC-11-Eq
Particulate matter formation,0.00011328431956407412,disease incidence
Photochemical oxidant formation: human health,7.984886741345416,kg NMVOC-Eq
Water use,663.3030349502503,m3 world Eq deprived
