Flow,Amount,Unit,Is input
wood wool,2.3000000000000003e-12,kg,True
"aluminium, primary, cast alloy slab from continuous casting",0.008388,kg,True
"metal working, average for steel product manufacturing",0.0101108,kg,True
"metal working, average for aluminium product manufacturing",10.35367127,kg,True
Copper ion,0.000994153569996717,kg,False
Acetaldehyde,0.0004533302915524397,kg,False
Molybdenum VI,9.420367551449142e-06,kg,False
Nitrogen oxides,0.5227330671309632,kg,False
Lead II,0.00011687655185225734,kg,False
"Particulate Matter, > 2.5 um and < 10um",0.05110138122260841,kg,False
Chromium VI,2.6737377118240348e-06,kg,False
Arsenic ion,3.4293899344077954e-05,kg,False
"Particulate Matter, > 10 um",0.07432990927704228,kg,False
"Hydrocarbons, aliphatic, unsaturated",0.0018802455939137452,kg,False
Sulfur dioxide,0.9331934503973275,kg,False
Methanol,0.006502174830581959,kg,False
Chromium III,2.8717536774639568e-05,kg,False
"PAH, polycyclic aromatic hydrocarbons",0.00015339236983274963,kg,False
Dinitrogen monoxide,0.020938047355752474,kg,False
Ammonia,0.014898736180770087,kg,False
"Methane, fossil",0.04574634580717826,kg,False
Calcium II,0.005397293013801438,kg,False
Iron ion,0.0032391249546163906,kg,False
Acetone,0.06646559644274311,kg,False
Hydrogen fluoride,0.01242269964295269,kg,False
Selenium IV,1.3170493767716485e-05,kg,False
"Hydrocarbons, aromatic",0.000488440422735441,kg,False
Propane,0.0008767465368439927,kg,False
Formaldehyde,0.00165533440029566,kg,False
Ethanol,0.0003304008213451269,kg,False
Mercury II,3.7026637339473697e-06,kg,False
"Hydrocarbons, aliphatic, alkanes, unspecified",0.074021988485805,kg,False
Cobalt II,2.841784072055897e-05,kg,False
Sodium I,0.0013347322349167724,kg,False
Hydrochloric acid,0.03730001977834408,kg,False
"Carbon dioxide, fossil",203.5751811660294,kg,False
"Carbon monoxide, fossil",0.160981438338196,kg,False
Nickel II,0.00023622398219550066,kg,False
Zinc II,0.00045255215427106505,kg,False
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",1.1393513154777199e-10,kg,False
"Particulate Matter, < 2.5 um",0.24124327598397383,kg,False
Vanadium V,0.0007390231052135945,kg,False
Benzo(a)pyrene,2.751695058003122e-07,kg,False
Acetic acid,0.0007295488155782391,kg,False
Toluene,0.0005079030862384881,kg,False
Hydrogen,0.05200770898084868,kg,False
Chloroform,8.091672886653862e-07,kg,False
Carbon tetrachloride,1.9815511716596554e-08,kg,False
Oxygen,87.87023504557415,kg,True
Oxygen,0.3298209077335731,kg,False
Methylchloride,1.3757355164417106e-05,kg,False
Chlorine,0.0012102651874762963,kg,False
Dichloromethane,7.298673029779447e-08,kg,False
Water,14.558162038721338,m3,False
Carbon tetrachloride,1.6768095523301638e-06,kg,False
"TOC, Total Organic Carbon",0.016451892836853367,kg,False
"Water, well, in ground",8.417522567253958,m3,True
Hydrochloric acid,0.0007228153712187019,kg,False
Water,12199.689116428886,m3,False
Polydimethylsiloxane,1.3718558773075542e-12,kg,False
"DOC, Dissolved Organic Carbon",0.01646476042536318,kg,False
Chlorine,0.00022296014415583963,kg,False
Water,7.947079060713804,m3,False
Methanol,0.0010606635778002956,kg,False
"COD, Chemical Oxygen Demand",0.06035275324549614,kg,False
"Water, river",13.721120045607556,m3,True
Dimethyldichlorosilane,1.655658891010013e-09,kg,False
Hydrochloric acid,0.0041551875252886315,kg,False
"BOD5, Biological Oxygen Demand",0.05889941381729682,kg,False
"Water, cooling, unspecified natural origin",122.07664286817892,m3,True
Dichloromethane,1.7412724889756893e-06,kg,False
"Carbon dioxide, fossil",109.42635736642683,kg,False
Silicon,4.2908907267829673e-10,kg,False
Methanol,0.0009595294924318059,kg,False
Chloroform,5.751444662856657e-07,kg,False
Sulfur hexafluoride,0.00033188196616007796,kg,False
Sulfate,1.3361285316467417,kg,False
Sulfate,0.016232883075821394,kg,False
"Water, unspecified natural origin",2.7293596063374825,m3,True
Fluosilicic acid,0.0001015305510836766,kg,False
Fluosilicic acid,5.6405861713153645e-05,kg,False
"Water, lake",0.9143259827996605,m3,True
Nitrate,0.33909241628852776,kg,False
"Carbon dioxide, non-fossil",51.77782752946837,kg,False
"Carbon monoxide, non-fossil",0.10445472343955357,kg,False
Nitrite,0.0024861944637366413,kg,False
