Impact category,Amount,Unit
Acidification,6.062858078478281,mol H+-Eq
Climate change,292.812870214572,kg CO2-Eq
Climate change: biogenic,1.9169492426780392,kg CO2-Eq
Climate change: fossil,290.57380465655405,kg CO2-Eq
Climate change: land use and land use change,0.3221163153398747,kg CO2-Eq
Ecotoxicity: freshwater,7139.101557492619,CTUe
"Ecotoxicity: freshwater, inorganics",7063.409658394624,CTUe
"Ecotoxicity: freshwater, organics",75.69189909799987,CTUe
Energy resources: non-renewable,3246.9013854255413,"MJ, net calorific value"
Eutrophication: freshwater,0.5463274302401033,kg P-Eq
Eutrophication: marine,0.46473996499777526,kg N-Eq
Eutrophication: terrestrial,5.638715485691354,mol N-Eq
Human toxicity: carcinogenic,7.17495912175152e-07,CTUh
"Human toxicity: carcinogenic, inorganics",5.610722942082714e-07,CTUh
"Human toxicity: carcinogenic, organics",1.5642361796688052e-07,CTUh
Human toxicity: non-carcinogenic,5.660935694623881e-05,CTUh
"Human toxicity: non-carcinogenic, inorganics",5.3146273857086716e-05,CTUh
"Human toxicity: non-carcinogenic, organics",3.463083089152135e-06,CTUh
Ionising radiation: human health,26.29950028699375,kBq U235-Eq
Land use,2867.310388788218,dimensionless
Material resources: metals/minerals,0.07142590068854492,kg Sb-Eq
Ozone depletion,3.7410008662165713e-06,kg CFC-11-Eq
Particulate matter formation,4.280050824867013e-05,disease incidence
Photochemical oxidant formation: human health,1.7176227286000525,kg NMVOC-Eq
Water use,144.34349870945846,m3 world Eq deprived
